[					
]					
㑣	l,,a,n,2	l,,a,m,2|l,,a,m,4			
㑥	,i,i,,4	z,,i,,6			
㑦	l,,i,,4	l,,eoi,,6			
㑧	j,,i,,4	g,u,ai,,3			
㑨	,i,u,,3	z,i,u,,5			
㑩	l,u,o,,2	l,,o,,4			
㑪	ch,,ai,,2	c,,aai,,4			
㑫				n,,ô,m,4	
㑬					
㑭					
㒭		k,u,aa,n,1|k,u,aa,n,1|l,,eoi,,4			
㓐	l,,u,,4	l,,u,k,9			
㓑	x,,i,ng,4	h,,@,ng,6			
㓒					
㓬		f,,u,,1			
㓭	sh,,e,,2	h,,o,t,8			
㓮		d,i,u,,1			
㓯	l,,i,,2	l,,ei,,4			
㓰	h,u,a,,4	,u,aa,k,9			
㔝	l,i,a,ng,3	l,,oe,ng,5			
㔞	k,u,ai,,4	f,,ai,,3			
㔟					
㕋	q,,i,n,2	k,,a,m,4			
㕌	,,ai,,4	ng,,oi,,6|z,,a,k,9			
㕍		d,,eoi,,1			
㕖	s,,u,,4	s,,ou,,3			
㖏	n,i,e,,4	n,,i,p,9			
㖐	,u,ei,,3	d,,o,,6|h,,ei,,3|,u,aai,,2			
㖑	x,i,e,,4	h,,ai,,6		nh,,ai,,3	
㖒	t,,i,,2	t,,ai,,4			
㖓	h,,o,ng,2	h,,@,ng,4			
㖔	t,,u,n,3	t,,aa,n,1			
㖕	n,i,e,,4	z,,i,p,9|z,,i,t,9			
㖖	n,i,e,,4	s,,aa,n,1|z,,i,p,9|z,,i,t,9			
㖗	,i,i,n,2	z,,aa,m,4		s,,u,m,2	
㖘	zh,,e,n,1	s,,a,n,2|s,,eo,n,2			
㖙					
㖚					
㖛					
㖜					
㖝					
㖞	,u,ai,,1	,u,aa,,1			
㘣	x,u,a,n,2	z,i,u,n,4			
㘿	n,i,e,,4	n,,i,p,9			
㙀	l,i,u,,4	l,,au,,6			
㙁	m,,ei,,2	m,,u,k,9			
㙂	d,u,i,,4	d,,eoi,,3			
㙃	b,,a,ng,1	b,,o,ng,1			
㙄	b,,i,,4	b,,ai,,6			
㙅	b,,ao,,3	b,,ou,,2			
㙆					
㛍	q,i,e,,4	h,,a,p,9			
㛎	l,,v,,3	l,,eoi,,5			
㛏	q,i,u,,2	k,,au,,4			
㛐	s,,ou,,3	s,,ou,,2			
㛑	c,,a,n,4	c,,aa,n,3			
㛒	d,,ou,,4	d,,aau,,2|d,,aau,,6|z,,aau,,6			
㛓	x,,i,,1	c,,i,,1|d,,ou,,1|h,,ei,,1			
㛔	f,,e,ng,1	f,,u,ng,1			
㛕	,i,i,,4	z,,aa,p,7			
㛖	s,u,o,,1	s,,o,,1|z,,o,,6			
㛗	q,i,e,,1	s,,o,,1			
㛘	p,,o,,4	b,,u,t,9			
㛙	x,,i,n,1	s,,a,n,1			
㛚	t,,o,ng,3	t,,u,ng,2			
㛛	x,,i,n,4	s,,aa,n,1|z,,aa,n,3			
㛜	,i,ou,,2	z,,aau,,4			
㛝	b,,ei,,4	b,u,i,,3			
㛞	l,,o,ng,4	l,,u,ng,6			
㛟					
㛡					
㛢					
㛣	,i,u,n,2				
㛤	l,,i,,2				
㝂	zh,,i,,4	c,,aa,m,4|d,,a,p,8|g,,ei,,1|z,,aai,,3|z,,i,t,8			
㝃	m,i,a,n,3	h,,ei,,1|m,,i,n,5			
㝗	l,,a,ng,2	g,,o,ng,1			
㝘	,i,o,ng,2	z,,u,ng,4			
㝙	,i,i,n,2	z,,aa,n,4			
㝚	,i,a,n,2				
㝶	,,ai,,4	d,,a,k,7			
㝸	b,i,a,n,4	b,,e,ng,2|b,,i,n,6			
㞂	t,u,i,,3	t,,eoi,,2			
㞗	q,i,u,,2	g,,au,,1			
㟇	c,u,o,,4	c,,o,,4			
㟈	q,i,u,,2	k,,au,,4			
㟉	l,,ao,,2	l,,ou,,4			
㟊	f,,u,,2	f,,u,,1			
㟋	d,u,i,,4	d,,eoi,,3			
㟌	m,,a,ng,2	m,,o,ng,4			
㟍	l,,a,ng,2	l,,o,ng,4			
㟎	t,u,o,,3	t,,o,,5			
㟏	h,,a,n,2	h,,a,m,4			
㟐	m,,a,ng,3	m,,o,ng,5			
㟑	b,,o,,2	b,,u,t,9			
㟒	q,,u,n,1	k,u,a,n,1			
㟓	q,,i,,2	k,,ei,,4			
