[								
]								
㠨				yù		gwaat1 waat1		
㿜				biě		bit6		
䖁				yì		zi3		
䘎				wān		wan1 wan6		
䠱				zhú		zuk6		
䤙				lì				
䦆				jué		fok3 mong4		
䭩				mó		mo1		
䯀				niè		nip6 seoi1 waai2		
䶨				zhān		tam4 zaam3 zam1		
囖				lo		lo1		
戇	TOU CHUU SHU KOU KU	당	TANG	zhuàng		ngong6 zong3		
欞	REI RYOU	령	LYENG	líng		ling4		
䖅				líng		ling4		
爧				líng				
欟				guang				
癴	REN			luán				
蠿				zhuō				
豔	EN			yàn		jim6		*iɛ̀m
躨				kuí				
钀				niè		jit6		
钁	KAKU			jué		fok3 kyut3		
钂				tǎng		dong2 tong2		
雧				jí				
饠	RA			luó				
饡				zàn		zaan3		
驨				xí		kwai4		
驩	KAN	환	HWAN	huān		fun1		xuɑn
鸘				shuāng				
鸙	YAKU			yuè				
鸚	OU YOU	앵	AYNG	yīng		jing1		*qɛng
麢				líng				
黸	RO RU			lú				
鼺	RUI			léi				
齼				chǔ				
齽	KIN KON GON			jìn				
龞	BETSU HETSU		PYEL	biē				
,								
