[								
]								
䀍				kàn		ham3		
䄥				líng		ling4		
䖂				luán		lyun4		
䖃				yuè		laa3		
䖄				rán		zin4		
䥹								
䯁				luó		leoi4		
䰖				zuǎn		cyun4		
䶩				jì		caai1 dam3 zaai6		
䶪				chà		caat3		
爨	SAN	찬	CHAN	cuàn		cyun3		
纞	REN			liàn				
虊				luán				
讟	TOKU DOKU TOU			dú		duk6		
钃	SHOKU ZOKU CHOKU TOKU			shǔ		suk6		
靏	KAKU			hè				
驪	RI REI	려 여	LYE	lí		lei4		*liɛ
鬱	UTSU	울	WUL	yù		wat1		*qiuɛt
鱹				guàn				
鸛	KAN	관	KWAN	guàn		gun3		
鸜	KU GU	구	KWU	qú			cò	ghio
麷				fēng		fung1		
驪	RI REI	려 여	LYE	lí		lei4		*liɛ
