[								
]								
㐅				wǔ		ng5		
丁	TEI CHOU TOU	정	CENG	dīng	ding1(16)	ding1 zaang1 zang1	đinh	*deng deng
丂	KOU		KYO	kǎo				
七	SHICHI SHITSU	칠	CHIL	qī	qi1(950)	cat1	thất	*tsit tsit
丄	SHOU		SANG	shàng				
丅	KA		HA	xià		ti1		
丆				hǎn				
丩	KYUU		KWU	jiū				
丷			HA	ha				
乂	GAI GE	예	YEY	yì		ngaai6	nghệ	
乃	DAI AI NAI	내	NAY	nǎi	nai3(27)	naai5 oi2	nải	*nəǐ nəǐ
乄				wu				
乜	BA ME		MYA	miē		mat1 me1 me2 me5 mi1 ne6		
九	KYUU KU	구	KWU KYU	jiǔ	jiu3(1453)	gau2	cửu	*gioǔ gioǔ
了	RYOU	료 요	LYO	le	le5(30101) liao3(654) liao4(19)	liu5	liễu	*leǔ leǔ
二	NI JI	이	I	èr	er4(2718)	ji6	nhì	*njì njì
亠	TOU ZU		TWU	tóu		tau4		
人	JIN NIN	인	IN	rén	ren2(16866) ren5(280)	jan4	nhân	*njin njin
亻			IN	rén				
儿	JIN NIN KAI		IN KWEY	ér	r5(3254) er2(581)	jan4		
入	NYUU JU JUU	입	IP	rù	ru4(784)	jap6	nhập	*njip njip
八	HACHI HATSU	팔	PHAL	bā	ba1(1123)	baat3	bát	*bat bat
冂	KEI KYOU		KYENG	jiōng		gwing1		
冖	BEKI MYAKU		MYEK	mì		mik6		
冫	HYOU		PING	bīng		bing1		
几	KI	궤	KWEY	jǐ	ji3(2523) ji1(216)	gei1 gei2	kỉ	gyǐ
凵	KAN KON		KAM	qiǎn		ham1 ham3		
刀	TOU	도	TO	dāo	dao1(284)	dou1	đao	*dɑu
刁	TEU CHOU	조	CO	diāo		diu1	điêu	deu
刂	TAU		TO	dāo				
力	RYOKU RIKI	력 역	LYEK	lì	li4(2488) li5(97)	lik6	lực	*liək
勹	HOU		PHO	bāo		baau1		
匕	HI	비	PI	bǐ		bei2 bei6		
匚	HOU		PANG	fāng		fong1		
匸	KEI		HYEY	xì		hai2		
十	JUU JITSU	십	SIP	shí	shi2(4082)	sap6	thập	*zhip
卜	BOKU	복	POK	bo	bo5(25)	buk1	bốc	*buk
卩	SETSU		CEL	jié		zit3		
厂	KAN		EM HAN	chǎng	chang3(731)	aa1 hon3		
厶	SHI BOU MU		SA	sī		mau5 si1		
又	YUU	우	WU	yòu	you4(4892)	jau6	lại	*hiòu
讠				yán				
力	RYOKU RIKI	력 역	LYEK	lì	li4(2488) li5(97)	lik6	lực	*liək
