[																									
]																									
㐖	x	i	e		2	z		i	p	9															
㐗																									
㐘																									
㐬	l	i	u		2	l		au		4															
㑁	zh	u	o		1	z	i	u	t	8&9															
㑂	f		a	ng	3	f&p		o	ng	2&4															
㑃			ao		3	&p		aai&au		1&2&3															
㑄		u	u		3	m		ou		5															
㑅	z	u	o		4	z		o	k	8&9															
㑆																									
㑇	zh		ou		4	z		aau		3															
㑈	d		o	ng	4	d		u	ng	1															
㒳	l	i	a	ng	3	l		oe	ng	5															
㒴	g		u		3	g	u	a	t	7															
㒵	m		ao		4	m		au&o		1&6															
㒶						g		u	ng	1															
㒷	g	u	a		3	h		@	ng	2&3															
㓈	b		i	ng	4	b		i	ng	1															
㓟	p		i		2	ng&p		ai&ei&o		1&4						ph		ay		1					
㓠	d	i	a	n	4	d		i	m	3						ch		e	m	5					
㔗	f		ei		4	b&f&g&ng		a&aa&aai&ei	&n&t	3&4&6&7&9															
㔘	ch		u		4	z		eo	t	7															
㔯	x	u	a	n	2	s	i	u	n	3															
㔰	h		e	ng	2	h		@	ng	4															
㔷	l		ou		4	l		au		6															
㕀																									
㕅	j	i	a		2	g		aa	p	8															
㕆	h		u		4			u		6															
㕇	l		a		1	l		a	p	8															
㕝																									
㕩	p		a	ng	4	z		oe	ng	3															
㕪	d		a	n	3	d		a	m	2															
㕫	f		a	ng	3	f		o	ng	2															
㕬	g		o	ng	1	g&z		u	ng	1&6															
㕭			ao		1		&i	aau&au		1&3								êu		1					
㕮	f		u		3	f		u		2															
㕯	n		e		4	n		eo	t	9															
㕰	x	u	e		4	h&m		aa&u	&k	3&9						m		au		1					
㕱		i	ou		2	z		aau		4															
㕲	h	u	a		2	m&z		i&u	k&ng	4&7															
㕳						h		@	ng	1															
㕴	ch		e	n	2	c		aa	m	4															
㕵	g	u	o		2	g	u	o	k	8							u	ô	ng	3					
㘧	x		u		4	z		eoi		6															
㘨	n	i	e		4	n		i	p	9						n	ô	i		2					
㘩	b		i		4	b		ei		6															
㘪	h		ao		4	h&k		aau&ou		3															
㘫	j		i	ng	3	z		i	ng	6															
㘬			ao		4			au		1															
㘭			ao		4			au		1&3															
㘮																									
㘯																									
㘰	zh		e	n	1	z		a	m	1															
㚒	sh		a	n	3	s		i	m&n	2															
㚓	l		ai		3	l		oi		4															
㚩	r		a	n	3	z		i	m	5															
㚪	h		ao		4	h		ou		3															
㚫	s		a		4	s		aa	p	8															
㚬	j		u	n	1	g	u	a	n	1															
㚭		i	ou		2	z		aau		4															
㚮						d		aa	m	1															
㚯	x		i	n	2	c		a	m	4															
㛠																									
㜾	h		ai		2	h		aai		4															
㜿	x		u		4	z		eoi&o	&k	6&9															
㝎	d		i	ng	4	d		i	ng	6															
㝏	j	i	e		4	g		aai		3															
㝐	r		o	ng	2	z		u	ng	2&4															
㝑	m		a	ng	2	p		o	ng	4															
㝴		u	a	n	2	z	i	u	n	4															
㝽	ch	u	i		2	c		ai&eoi&oe	&k	1&4&8															
㞎	b		a		3	b&p		aa		2&4															
㞣						f		a	n	1															
㞰	x		u		3	h		eoi		2															
㞱	c		o	ng	1	c		u	ng	1															
㞲		i	o	ng	4	z		u	ng	6															
㞳	d		ou		3	d		au		2															
㞴	ch		i		2	c		i		4															
㞵						t		ou		1															
㞶	m		i	n	3	m		a	n	4															
㞷	h	u	a	ng	2		u	o	ng	4															
㞸	s	u	i		4	s		eoi		3															
㠷	g		e		2	g&h&k		aau&o	&k&n	3&6&8															
㠸	k		u		4	f&g		u		1&3															
㠹	j	i	e		4	g		aai		3															
㠺	sh		a		1	s		aa		1															
㠻						h		ei		1															
㠼	s		i		1	s		i		1															
㡲	h	u	a	n	2		u	aa	n	4															
㡳	zh		i		3	z		i		2															
㢤																									
㢬	h		o	ng	2		u	a	ng	4															
㢭						t		ou		1															
㣊																									
㣖																									
㣗																									
㣽	sh		u		4	s	i	u		3															
㤀																									
㤃	f		a	ng	2	f		o	ng	1&4															
㤄	p		ei		4	p	u	i		3															
㤆	f		a	n	4	f		aa	n	2															
㤇			ao		3			ou		2&3															
㤈	q		i	n	4	s		aa	m	3															
㤉	q	i	a		1	k&ng		aa&o	&k	3&4&8															
㤊	x	i	ao		4	h		aau		6															
㤋	f		e	n	1	f		a	n	1															
㦮	q	i	a	n	2	c		i	n	4															
㦯	h	u	o		4		u	aa	k	9															
㦾		i	i		2	z		i		4															
㧉	g		ai		4	k		oi		3															
㧊	p		o		1	p		u	t	8															
㧋	x	u	a	n	3																				
㧌	m		ao		4	m		ou		6															
㧍	f		a	ng	3	f		o	ng	2						ph		a	ng	1					
㧎		i	a		2	ng		aa		4															
㧏	g		a	ng	1	g		o	ng	1															
㧐	s		o	ng	3	s		u	ng	2															
㧑	h	u	i		1	f		ai		1															
㩿	k		u		1	g	u	aa	t	9															
㪀		i	u		2	z	i	u		1															
㪯	ch		a		2	g		eoi		2															
㫒	g		o	ng	3	g		u	ng	1&2															
㫓	q		i		3	h		ei		3															
㫔	g		e	n	4	g		a	n	3															
㫕						g	u	o	ng	1															
㫖																									
㫗	h		ou		4	h		au		5															
㭂	j	i	ao		3	n&z	i	u		1&2															
㭃						g		o	ng	1															
㭄	x		i	n	4	s		eo	n	3															
㭅																									
㭆																									
㰝		i	i		3	z	i	u		4&5															
㰞	ch		i		1	c		i		1															
㱐																									
㱑																									
㱼	h		ai		1	h		oi		1															
㲾		i	u		3	z	i	u		6															
㳀	g	u	o		4	g	u	o		3															
㳁	z		e		4	z		a	k	7															
㳂		i	a	n	2	z	i	u	n	4															
㳃	c	u	i		4	c&s		eoi		3&6															
㳄	x	i	a	n	2	z		i	n	4															
㳅	j	i	ao		3	l		aau		4&5															
㳆	t		ou		3	&t&z	&u	aa&u	&ng	2&3&4															
㳇	f		u		4	f		u		6															
㳈	p		ei		4	p	u	i		1&3															
㳉																ng	o	e	t	7					
㳊		i	ou		1	z		aau&u	&ng	1&4															
㶣	ch		a	n	2	c		a	m	4															
㶤	ch		ao		3	c		aau		2						t		a	ch	8					
㶥	g		a	n	1	g&s		o&oe	n&ng	1&2															
㸩			a	n	1	ng		o	n	6															
㸪	ch		u	n	2	m&s		aa&eo	n	4&5															
㹝	sh		i		4	s		i		6															
㹞		i	i	n	2	ng		aa	n	4															
㹟	j	u	e		2	k	i&u	i&u	&t	2&8															
㹠	t		u	n	2	d&t	&i	i&u	n	4&6															
㺬	g		o	ng	3	g		u	ng	2															
㺭	z		i		3	g&z		ei&i		2															
㺮		i	u		2	z	i	u		1															
㺯																									
㼗	t		i	ng	2	t		i	ng	4&5															
㽕		i	ou		2	z		aau		4															
㽖	n		a	n	2	n		a	m	4															
㽗																									
㽱	j	i	ao		3	g		aau		2															
㽲	j	i	ao		3	c&g&n		aau&au		2&4															
㿝						h		@	ng	1															
䀎	m	i	a	n	3	m		i	n	5															
䀏	x	u	a	n	4	z	i	u	n	6															
䂗	k		u		1	g	u	aa	t	9															
䃼																									
䄦	l	i	ao		3	l	i	u		5															
䄧	r		e	ng	2	z		i	ng	4															
䆑	ch		e	ng	2	c		a	ng	2&4															
䎲	zh		e		2	h&z		ei&i	&p	2&8															
䏎	f		e	ng	2	f&h		o&u	n&ng	4&6															
䏏	x		u		1	h		eoi		1															
䖉						h		eoi		1															
䖝	ch		o	ng	2	c		u	ng	4															
䢊		i	ou		2	z		aau		4															
䢋	j		i		4	g		au&ei		2&6															
䢵		i	u	n	2	&f	&u	aa&u	n&t	2&4&9															
䢶						b		o	ng	1															
䢷																									
䦼	j	u	e		2	k	i	u	t	8															
䦽	x		u		4	z		eoi		6															
䦾		iu	a	n	2		u	aa	n	5															
䦿																									
䧀																									
丣		i	ou		3		i	au		5												y	u	u	None
两	l	i	a	ng	3	l		oe	ng	5											r	y	o	u	None
严		i	a	n	2		i	i	m	4															
串	ch	u	a	n	4	c&g	i&u	aa&u	n	3	ch&k	&w	a&e&o	c&n	None	x	uy	ê	n	3	k&s		a&e	n	None
丽	l		i		4	l		ai		6											r		e	i	None
乕	h		u		3																k		o		None
乱	l	u	a	n	4	l	i	u	n	6						l	o	a	n	4	r		a	n	None
乲	z		i		1																				
亊	sh		i		4																s&z		i&u		None
些	x	i	e		1	s		e		1	s		a		None	t		a		1	s	&y	a		None
亜		i	a		4																		a&o	&tsu&u	None
亨	h		e	ng	1	h&p		@&aa	ng	1	h&ph	&y	ay&e	ng	None	h		a	nh	1	h&k	&y	o	u	None
亩	m		u		3	m		au		5															
亪		i	e		5																				
伭	x	i	a	n	2		i	i	n	4											k&s		e	n	None
伮	n		u		3	n		ou		4						n		o		3	d		o		None
伯	b		o		2	b		aa	&k	3&8	p&ph		ay	&k	None	b		a		3	h		a	&ku	None
估	g		u		1	g		u		2&3	k		o		None						k		o		None
伱	n		i		3																z		i		None
伲	n		i		4											n		i		1	z		i		None
伳	x	i	e		4	s		i	t	8											s		e	chi&tsu	None
伴	b		a	n	4	b&p		u	n	5&6	p		a	n	None	b		a	n	4	b&h		a	n	None
伵	x		u		4											t		ơ		3	k	&y	e&i&o	&ki&ku	None
伶	l		i	ng	5	l		i	ng	4	l	y	e	ng	None	r		a	nh	2	r	&y	e&o	i&u	None
伷	zh		ou		4	z		au		6											t	y	u	u	None
伸	sh		e	n	1	s		a	n	1	s		i	n	None						s		i	n	None
伹	q		u		1																s	y	o		None
伺	c		i		4	z		i		6	s		a		None						s		i		None
伻	b		e	ng	1	p		i	ng	1&4											h	&y	o	u	None
似	sh		i		4	c		i		5	s		a		None	t		ư		4	z		i		None
伽	j	i	a		1	g&k		aa&e		1&4	k		a		None	g	i	a		2	g&k	&y	a		None
伾	p		i		1	p		ei		1											b&h		a&e&i	&i	None
伿		i	i		4																		i		None
佀	s		i		4																s&z		i		None
佁		i	i		3		i	i		4&5											&s&t&z		a&i	&i	None
佂	zh		e	ng	1						c		e	ng	None						&s	y	a&o	i&u	None
佃	d	i	a	n	4	d&t		i	n	4&6	c		e	n	None	đ	i	ê	n	2	d&t		e	n	None
佄	h		a	n	1																				
佅	m		ai		4																				
但	d		a	n	4	d		aa	n	6	t		a	n	None						d&t		a	n	None
佇	zh		u		4	c	i	u		5	c		e		None						t	y	o		None
佈	b		u		4	b		ou		3	ph		o		None						h		o&u		None
佉	q		u		1	k		eoi		1	k	&w	e&u		None						k	&y	a&o		None
佊	b		i		3											b		e		2					
佋	zh		ao		1						s		o		None						s&z	y	o	u	None
佌	c		i		3	c		i		2											s		i		None
