1																									
[																									
]																									
㐤	d		a	n	1	k		aau		4															
㑳	zh		ou		4	z		aau		3															
㑴						c		a&aa	m	1															
㑵	h		a	n	4	z		a	t	9															
㑶	x		i		4	h		aai&ei		3&4															
㑷	t		ai		4	t		aai		3															
㑸		i	ao		2	z	i	u		4															
㑹	h	u	i		4	&g&m	&u	a&i&o	&k&t	6&8&9															
㑺	j		u	n	4	z		eo&eoi	&n	3&6															
㒽	q	u	a	n	1	h	i	u	n	1															
㓃	d		u		4	d		ou		3															
㓔	x	i	e		4	z		e		6															
㓕																									
㓷		i	i		4	n&z		au&i		4&6															
㓸	zh	u	o		1	c&s&z		au&oe	&k	2&8															
㓹	r	u	i		4	z		eoi		6															
㓺	j	i	a	n	1	g&k		i	n	1&4&6															
㓻						g		o	ng	1															
㔡	b	i	e		1	b		i	t	8															
㔩			e		4			aa	p	9															
㔸	t		i		1	c&t&z	&i	a&aai&u	&m&n	1&2															
㕎	k		e		4																				
㕠	sh	u	a	ng	1	s		oe	ng	1															
㖶		i	a	n	1	z		i	n&t	1&3&8															
㖷	sh		i		2	t		aai		4															
㖸	x	u	e		2	k		oe	k	9															
㖹	p		e	n	1	f&p		aa&u	&n	2&3&4						v		ô	n	2					
㖺	ch		u	n	3	c		eo	n	2															
㖻	n	i	u		2	z		aau		4															
㖼	d	u	o		3	m		au		4						m		o		5					
㖽	z		e		2	z		aa	k	8						h		ơ	t	8					
㖾			e		4	ng		o	k	9															
㖿	x	i	e		2	c&z		e		4															
㗀		i	ou		1	z		aau		1															
㗁			e		4	ng&z		i&o	k&t	9															
㗂	sh		e	ng	3	s		aa	ng	2															
㗃		u	e	n	3	m		aa	n	4&5															
㗄	k		u		1	m		a&i	n&ng	4&6															
㗅	h		u		2			u		4															
㗆	g		e		2	g		aa	k	8															
㗇	x	i	a		2	g&h		aa		4&5															
㗈	m		a	n	4	m		aa	n	6															
㗉	l	v	e		4	l		oe	k	9															
㗊	j		i		2	l		eoi&o		4															
㗋	h		ou		2	h		au		4															
㗌	zh		i		4	z		aa	t	9															
㗍																									
㗎						g		aa		2&3&4															
㗏		u	ai		1																				
㗐																									
㗑	b		ai		5	b		ai		6						b	ơ	i		3					
㙎		u	ei		1		u	ai		1															
㙏	f		u		4	f		u	k	7															
㙐	d	u	o		3	d		eoi&o		2															
㙑		i	u		3	z	i	u		5															
㙒		i	e		3	z		e&i		2&5															
㙓	k	u	i		2																				
㙔		u	ei		3	h		o	n	4															
㙕	k	u	ai		4	f		aai		3															
㙖																									
㙗		u	ei		1	f		ai		3															
㙘		i	ao		1	z	i	u		1															
㚃		i	u	n	1		u	a	n	1															
㚊	k		ai		1	h		oi		1															
㚟	ch	u	o		4																				
㛮	s		ao		3	s		ou		2															
㛯	f		a	n	4	m		i	n	5															
㛰						f		a	n	1															
㛱		u	ei		3		u	i		2															
㛲	f		a		4	f		aa	t	8															
㛳		i	i		4	z		aa&aai	&m	3&6															
㛴	n		ao		3	n&z	&i	ou&u	&n	5															
㛵	ch		e	ng	1	c		i	ng	1															
㛶	t		a	n	4	t		aa	n	3															
㛷	j		i		1	g		ai		1															
㛸	sh		u		4	s	i	u		6															
㛹	p	i	a	n	2	p		i	n	4															
㛺			a	n	1			aa	m	1															
㛻	k	u	a		1	k	u	aai		2															
㛼	ch		a		1	c		a&oi	&p	3&8															
㛽						s		aa	n	1															
㛾	x	i	a	n	2	h		aa	m	4															
㛿	zh		i		4	z		a&aai	&t	6&8															
㜀																									
㜁																									
㜂	f		e	ng	1	f		u	ng	1															
㜃	l	i	a	n	4	l	i	u	n&t	2&9															
㜄	x		u	n	2	c&s&z		aa	m&n	2&4&6															
㝄	ch		u	n	2	s&z		eo	n&t	4&7															
㝢		i	u		3	z	i	u		5															
㝣		i	i		4																				
㝷																									
㝹	n		ou		2																				
㞇		u	ei		3		u	aai		2															
㞈	b		o		1	b	&u	i&u	&t	6&9															
㞚	q		i		4	k		aai		3															
㞛	j		i		3	g		ei		2															
㟦		i	u	n	4		u	a	n	6															
㟧			e		4	h&ng&z		i&o	k&m&n	4&6&9															
㟨	d	u	a	n	1	c	i	u	n	4															
㟩	m		i	n	2	m		a	n	4															
㟪		u	ei		1		u	aai		1															
㟫	q	u	a	n	2	c	i	u	n	4															
㟬	s		ou		3	s		aau&ou		2															
㟭	m		i	n	2	m		a	n	4															
㟮	t		u		1	d		aa&aau	&t	6&9															
㟯																									
㠭	zh		a	n	3	z		i	n	2															
㡏	sh		u		4	s		o		1															
㡐						z		i	n	1															
㡑	q	i	ao		1	h&z	&i	au&u		1&2															
㡒	zh		u	n	1	z		eo	n	1															
㡓	k		u	n	1	k	u	aa	n	1															
㡔		u	u		4	m		ou		6															
㡕		i	i	ng	1	z		i	ng	1															
㡖	ch	u	a	ng	2	c		o	ng	4															
㡫		i	i		4	z		i		3															
㡬																									
㢍		i	i	ng	3	z		i&oe&u	ng	2&3															
㢎	zh		e		2	c&z	&i	a&aa&u	&p	3&7&8															
㢏	t		ou		2	t		au		4															
㢐																									
㢽			er		3	n		ei		6															
㢾	j	u	a	n	4	g	i	u	n	3															
㢿																									
㣏	j		i	ng	4	z		i	ng	6															
㣐	b	i	a	n	4	b		i	n	3															
㣪	h	u	a	n	3			u	n	6															
㣫	zh		o	ng	3	d		u	ng	2															
㣬	q		i		4	c		a	p	7															
㣭	z		o	ng	1	z		u	ng	1															
㣮																									
㥁	d		e		2	d		a	k	7															
㥈	d	i	e		2	d		i	p	9															
㥋		i	i		1	z		i		1															
㥎	l		ai		2	l		aai		4															
㥐		iu	a	n	4	z	i	u	n	3															
㥑						z		aau		1															
㥕	l	i	a	n	2	l		i	n	4															
㥖	c		o	ng	1	c		u	ng	1															
㥚		i	u		2	z	i	u		4&5															
㥛	j		i		2	g		i	k	9															
㥜		u	ei		4	&s	i&u	aai&u	&t	6&8															
㥝	m		i		3	m		aai		5															
