[																									
]																									
䵅			ao		2	ng		ou		4															
䵚	t		ao		3	c&d&s&t		aa&eoi&ou	&m	2&2&3&4															
䵸						c		aau		1															
䶇	zh		ou		4	z		au		6															
䶜	g		u		3	g		u	k	7															
䶝	q	i	a		4	h		aa	p	7															
䶬	j	i	a	n	1	g		i	n	1															
儻	t		a	ng	3	t		o	ng	2	t		a	ng	None						t		o	u	None
儼		i	a	n	3		i	i	m	5			e	m	None	ngh	i	ê	m	6	g		e	n	None
囅	ch		a	n	3	c		i	n	2											t		e	chi&n&tsu	None&None&None
囆	ch		ai		4	c		aai		3											t		a&e	&i	None&None
囇	l		i		4																				
囈		i	i		4	ng		ai		6		y	ey		None						g		e	i	None
囉	l	u	o		1	l		o		1&4	l		a		None	l		a		1	r		a		None
囊	n		a	ng	2	n		o	ng	4	n		a	ng	None						n		o	u	None
囋	z		a		2	z		aa	n	3											s&z		a	chi&tsu	None&None
囎	z		e	n	5																s		o		None
圝	l	u	a	n	2																r		a	n	None
夔	k	u	i		2	k	u	ai		4	k		i		None						g&k		i		None&None
奱	l	u	a	n	2																r		e	n	None
孊	m		i		3																				
孋	l		i		2	l		ei		4											r		a&e&i	&i	None&None&None
孌	l	u	a	n	2	l	i	u	n	5	l	y	e	n	None						b&m&r		a&e	n	None&None&None&None
孿	l	u	a	n	2	l	i	u	n	4	s		a	n	None						r&s		a&e	n	None&None&None
巎	n		ao		2																d		o	u	None
巑	c	u	a	n	2	c	i	u	n	4	ch		a	n	None						s&z		a	n	None&None
巒	l	u	a	n	2	l	i	u	n	4	m		a	n	None						r		a	n	None
巓	d	i	a	n	1	d		i	n	1	c		e	n	None						t		e	n	None
巔	d	i	a	n	1	d		i	n	1											t		e	n	None
巕	n	i	e		5																				
巗		i	a	n	2																				
廲	l		i		2																r		a&e&i	&i	None&None&None
彎		u	a	n	1		u	aa	n	1	m		a	n	None							w	a	n	None
彲	ch		i		1																t		i		None
懿		i	i		4		i	i		3			uy		None								i		None
戂	m		i		2																				
戵	q		u		2						k	w	u		None						g		u		None
攞	l	u	o		2	l		o		1&2						r		a		2	r		a		None
攟	j		u	n	4																k		u	n	None
攠	m		i		2	m		ei		4															
攡	l		i		2	c		i		1															
攢	z		a	n	3	c&z	&i	aa&u	n	2&4	ch		a	n	None						s		a	n	None
攣	l	u	a	n	2	l	i	u	n	4	l	y	e	n	None						r		e	n	None
攤	t		a	n	1	t		aa	n	1	th		a	n	None	n		ă	n	4	d&t		a	&n	None&None&None
攦	l		i		4	l		ai		6											r&s		a&e&i	&i	None&None&None&None
攧	d	i	a	n	1																				
櫷	g	u	i		1																				
欆	sh	u	a	ng	1																s		o	u	None
欇	sh		e		4																s	y	o	u	None
欈		u	ei		2																				
欉	c		o	ng	2																s		o&u	&u	None&None
權	q	u	a	n	2	k	i	u	n	4	k	w	e	n	None	q	uy	ê	n	2	g&k		e&o	n	None&None
欋	q		u		2																				
欍	j	i	u		5																				
欎		i	u		4																				
歡	h	u	a	n	5	f		u	n	1	h	w	a	n	None	h	o	a	n	1	k		a	n	None
氍	q		u		2	k		eoi		4											&g&k	&y	o&u		None&None&None&None
灑	s		a		3	s		aa		2	s	&w	ay		None&None	ng&r	&ơ	i&ơ		1&4	s	&y	a	&i	None&None
灒	z		a	n	4	z		aa	n	3&6															
灔		i	a	n	4																		e	n	None
灕	l		i		2	l		ei		4											r		i		None
灖	m		i		3																				
灗	sh		a	n	4																				
灘	t		a	n	1	t		aa	n	1&5	th		a	n	None						d&k		a	n	None&None
爜	c		o	ng	2																				
爝	j	u	e		2	z		oe	k	9											s	&y	a&o	ku&u	None&None&None
爞	ch		o	ng	2	c		u	ng	4															
爟	g	u	a	n	4	g		u	n	3	k	w	a	n	None						g&k		a&e	n	None&None&None
爠	j		u		5																				
