[																									
]																									
㵓	sh		i		2	t&z		i	k&m	1&9															
㵔	ch		e		3	d&s		e&ou		2&2															
㵕	sh		e	n	4	s		a	m	3															
㵖	n		v		4	n		eoi		3															
㵗	p		i	ng	2	p		a	ng	4															
㵙						c&z		a&i	k&ng	1&9															
㵚																									
㵛																									
㵜																									
㷫	q		i	ng	3	h&k		@&aai	&ng	2&3															
㷬	m		o		4	m		o&u	k&ng	4&9															
㷭						f		u	ng	1															
㷮	z		ao		1	z		ou		1															
㷯	b		e	ng	4	b&p		a&i&u	ng&t	1&2&9															
㷰	ch		i		1	c		i		1															
㷱																									
㷲																									
㹌	ch		a	n	3	c		aa	n	2															
㹍	d		i		2	d		i	k	9															
㹎	l		ei		2	l		eoi		4															
㹏	j		i	n	3	g&h		@&aa	n&ng	2&4															
㹐	ch		o	ng	2	c		u	ng	4															
㺔	h		ai		4	f&h		aai&oi		1&6						v	o	i		1					
㺕	f		a	n	2	b&f		a&i	n	4&6															
㺖	h		a	n	3	h		a	m	3															
㺗	ch		a	n	1	c		aa	n	1															
㺘	zh		a	n	4	s&t&z		a&i&ou	&m&n	1&1&1&2&3															
㺙																									
㻫	b		i		4	b		i	t	7															
㻬	t		u		1	s	i	u		1															
㻭	s		e		4	s		a	t	7															
㻮	c		a	n	4	c		aa	n	3															
㻯	t		u		2	t		ou&u	&k	4&7															
㻰	m	i	a	n	3		u	ai		6															
㻱	j		i	n	1	z		eo	n	1															
㻲	l		v		3	l		eoi		5															
㻳																									
㻴																									
㼓	l	i	a	n	2	l		i	m	4															
㼔		u	e	n	1		u	a&aa	n	1&4															
㼸	r		o	ng	2	z		u	ng	4															
㼹	k		a	ng	1	h		@	ng	1															
㼺	t		a	ng	2	t		o	ng	4															
㽐						c		i	m	1															
㽓																									
㽦	x		u	n	2	c&s		eo	n	1&4															
㽧	z		i		1	z		i		1															
㽨	c	u	o		2	c		o		1															
㾶	g		u		3	g	u	a	t	7															
㾷	x		i		1	s		ai		1															
㾸	g		ao		3	g		ou		2															
㾹	ch		ai		2	c		aai		4															
㾺	m		a		4	m		aa		3&6															
㾻	zh		u		4	z	i	u		6															
㾼	t	u	i		3	d&t		eoi		1&2															
㾽	zh	u	i		4	z		eoi		6															
㾾	x	i	a	n	1	c		i	m	1						h		e	m	1					
㾿	l		a	ng	2	l		o	ng	4															
㿀						b		a&aa	n	1&1															
㿁																									
㿥	h		e		2	h&l		o&u	k	9&9															
㿶	b		a	ng	1	b		o	ng	1															
㿷	c	u	o		2	c		ou		3															
䁗	k		ai		3	h		oi		2															
䁘		i	ao		3	z	i	u		4															
䁙		i	a	n	3	z		i	n	2															
䁚	s		u	n	3	k&s	&i	i&u	n&ng	2&4															
䁛	g	u	i		4	k	u	aai		5						c	o	i		1					
䁜	h	u	a	ng	4	f		o	ng	2															
䁝		i	i	ng	2	g&z	&u	i	ng	1&4															
䁞	sh		e	ng	3	s		aa	ng	2															
䁟	ch		a		2	c		aa		4															
䁠	l	i	a	n	2	l		i	m	4															
䁡																									
䃑	b		a	n	1	b		aa	n	1															
䃒	h		e		2	g&h		a&aa	k&t	8&9															
䃓	g		ou		4	g&k&ng		aau		1&3&4															
䃔	h		o	ng	2	h		@	ng	4															
䃕	l		ao		2	l		o&ou	&k	4&9															
