[																									
]																									
㒂	zh	u	o		2	z		oe	k	9															
㒃			er		4	z		i		6															
㒄	r		a	n	3	ng&z		a&i	m	4&5															
㒅	q		i		3	k		ai		2															
㒆	ch		i		4	k		a	p	7															
㒇		u	u		3	ng		@		5															
㒈	h		a	n	4	h		o	n	6															
㒉	t		a	ng	3	t		o	ng	2															
㒊	s		e		4	s		aa&i	k&p	7&7															
㒋						s		i		1															
㒌	q	i	o	ng	2	k		i	ng	4															
㒍	l		ei		2	l		eoi		5															
㒎	s		a		4	s		a	t	8															
㒏																									
㒐																									
㓗	j	i	e		2	g		i	t	8															
㓾	x		i		1	s		ai		1															
㓿																									
㔀	l	v	e		4	k		i	ng	4															
㔁	d		e	ng	1	d&t		aa	ng	1&1															
㔂	l		i	n	2	l		eo	n	4															
㔃	j	u	e		2	z	i	u	t	9															
㔄	s		u		4	s		u	k	7															
㔅	x	i	ao		4	s	i	u		3															
㔆	z		a	n	4	c		aa	m	5															
㔇						p		u	t	8															
㔈																									
㔉	zh		u		3	c&z		u	k&ng	2&7															
㔢	j	u	e		2	&z	i&u	aai&u	&t	4&9															
㔵	x	u	a	n	3	&s	i&u	a&u	n	2&4															
㕐	x	i	e		3	s		e		2															
㕑	ch		u		2	c	&i	eoi&u		4&4															
㕡	h		e		2	h&k		@&o	k&ng	1&8															
㕢	g		ai		4																				
㗢	h		o	ng	2	h		@	ng	1						r		ô	ng	3					
㗣	t		i		4	d&t		aai		3&3															
㗤	c		u		4	c		u	k	7															
㗥	k	u	o		4	k	u	o	k	8															
㗦	l		ao		2	l		ou		4															
㗧	zh		i		4	z		aa	t	9															
㗨	x	i	e		1	&h		aai&ai		2&6															
㗩	x		i		1	c		i		1															
㗪																									
㗫	q	i	e		4	c&s		a&aa&aai	&m	1&3&6															
㗬	zh		a		1	z		aa		1															
㗭	x		i		1	h		ei		1															
㗮																									
㗯																									
㗰	c		o	ng	2	c&s		aai&u	&ng	3&4															
㘤		u	a	n	1		u	aa	n	1															
㙠		i	i		1			aai		3															
㙡	z		o	ng	1	z		u	ng	1															
㙢	m		a	n	2	m		a	n&ng	6&6															
㙣	zh		a	ng	4	z		oe	ng	3															
㙤	x	i	a		4	l		aa		3						h		ô		3					
㙥	g		u	n	4	&g	u	a&aa	n&t	2&6&9															
㙦	x	i	e		2																				
㚋	d	i	ao		1	d&n&s&t	&i	eoi&o&u		1&4&5&5															
㚌	h	u	a		4	f&l		o		2&2															
㜕	l	i	a	n	2	l		i	n	4															
㜖	c		ao		2	c		ou		4															
㜗	c		a	n	1	c		a	m	2															
㜘	j		u		4	g		eoi		6															
㜙	l		u		4	l		u	k	9															
㜚	s		u		4	s		u	k	7															
㜛	n		e	n	4	z	i	u	n	5															
㜜			ao		4	ng		ou		6															
㜝			a	n	3			a	n	2															
㜞	q	i	a	n	4	c		a&i	m	3&4															
㜟																									
㜠	c	u	i		1	c	&i	eoi&u	&n	1&2															
㜡	c		o	ng	1	s		u	ng	1															
㜢																									
㝩	k		a	ng	1	h		oi		1															
㝪	d	i	a	n	4	d		i	m	3															
㝫	l		o	ng	2	l		u	ng	4															
㝬																									
㝺	l	i	a	n	2	l		i	m	4															
㞜	t	u	i		1	t		eoi		1															
㞝																									
㞞	s		o	ng	2																				
㟹	l		ao		2	l	&i	ou&u		4&4															
㟺	l		ou		2	l		aau		4															
㟻	q	i	a	n	4	c&d&z		a&i	m&ng	1&2&3															
㟼			ao		2	ng		ou		4&4															
㟽	b	i	ao		3	b	i	u		2															
㟾		i	o	ng	1	z		u	ng	4															
㟿	m		a	ng	3	m		o	ng	5															
㠀	d		ao		3	d		ou		2															
㠁						c		aa	m	1															
㠂			ao		2	ng		ou		4															
㠃																									
㠄	x		i		2	z		aa	p	9															
㡜	x	i	e		4	s	i	u	t	8															
㡝	f		e	ng	4	f		u	ng	6															
㡞	l		ou		2	l		aau&eoi		4&5&5															
㡟	z		ao		1	z		ou		1															
㡭	j		i		4	g		ai		3															
㢒	ch		a		2	c		aa		4															
㢓		i	ao		3	z		oe	ng	3															
㢔	z		o	ng	3	c&z		aai&u	&ng	1&1&2															
㢕						z		u	ng	1															
㢡	j	i	a	ng	3	c&z		eo&eoi&oe	&ng&t	1&2&7															
㣃		i	u		3	z		u	k	9															
㣑	r		o	ng	2	z		u	ng	4															
㣰	x	i	e		4	s		i	k	7															
㣱	z		e		2	z		a	k	8															
㣲		u	ei		2	m		ei		4															
㥯		i	i	n	3	z		aa	n	2															
㥲	ch		e	n	1	c		a	n	1															
㥶	s		e		4	s		a	k	7															
㥷		i	e		4			aai		3															
㥸	m		i	n	3	m		a	n	5															
㥹	f		e	n	3	b&f		aa	n	1&2															
㥻																									
㥼		i	i	n	4	z		aa	n	2															
㥽	c		e		4	c		aa	k	8															
㥾	n		i		4	n		i	k	7															
㦀	f		e	ng	2	f		u	ng	4															
㦃	ch		a	n	3	c&z		a	n	2&3															
㦅	d	i	e		1	d		aai		3															
㦆	h		u		1	f		u		1						h		u		3					
㦇	l		u		4	l		u	k	9															
㦈																									
㦺	r		u		4	z		u	k	9															
㨭	h		u		4			u		6															
㨮	d		ou		1	d		au		1															
㨯	h	u	o		4	g	u	o	k	8															
㨰	g		u	n	3	g	u	aa	n	2															
㨱		i	ao		2	z	i	u		4															
㨲	c		e		4	c		aa	k	8															
㨳	g	u	i		3	&g&k	i&u	a&aai&u	&n&t	2&4&8															
㨴	j	i	a	n	4	g&h&k&z		i	n	1&2&3&5															
㨵	j	i	a	n	3	z		i	n	2&3															
㨶	d		ao		3	d		ou		2						đ		eo		6					
㨷	j		i	n	4	g		aa	m	3															
㨸	m		a		4	b&m		aa&ei		3&6															
㨹	h	u	i		4		u	ai		6															
㨺	m	i	a	n	3	m		i&u	n	4&5															
㨽	p		i		4	b&f		a&aa&i	k&n&t	6&7&9															
㨾		i	a	ng	4	z		oe	ng	6															
㨿	j		u		4	g		ei&oe	&ng	1&3															
㩀	j		u		4	g		oe	ng	3															
㩁	q	u	e		4	k		o	k	8															
㩂																									
㪠	q	i	a	n	1	h		i	m	3															
㪡	k		ai		4	h		o	t	8															
㪢	sh		ao		3	s		aau		2															
㪣	x	i	ao		1	h&k	&i	au&u		1&3															
㫁	d	u	a	n	4	d	i	u	n	6															
㬍	b		o		2	b		o	k	8															
㬎	x	i	a	n	3	h		i	n	2															
㬏	l		i		4	l		i	k	9															
㬐	j		i	n	4	z		eo	n	3															
㬺																									
㬻	h	u	a	ng	1	b&f		aa&o	ng	1&1															
㮤						c		u	ng	4															
㮥	b		e	n	4	f		aa	n	5															
㮦	s	u	o		3	s		o	k	8															
㮧		u	u		1		&u	aa&u	&t	1&7															
㮨	j		i		4	z		i	k	7															
㮩	x		i		1	s		i	k	7															
㮪	q	i	o	ng	2	k		u	ng	4															
㮫	h		e		2	h		aa&o	t	8&9															
㮬		u	e	ng	1	z		u	ng	1															
㮭	x	i	a	n	2	h		a	m	4															
㮮	j	i	e		2	g		i	t	8															
㮯	h		u	n	2		u	a	n	4															
㮰	p		i		2	p		ei		4															
㮱	sh		e	n	1	s		i	ng	1															
㮲	ch		ou		1	c		aai		1															
㮳	zh		e	n	4	z		aa	m	6															
㮴						s		au		1															
㮵	zh		a	n	1	z		i	n	1															
㮶	sh	u	o		4	s		a&o	k	8&8															
㮷	j		i		1	g		ai		1															
㮸	s		o	ng	4	s		u	ng	3															
㮹	zh		i		3	z		i		2															
㮺	b		e	n	3	b&h		a&u	k&n	2&7															
㮻																									
㮼																									
㮽																									
㰿	x		i		1	h		ei		1															
㱀	ch		i		3	c&z	&i	i&u	&t	2&8															
㱁	sh		i		4	s		i		6															
㱗	x	i	u		1	z		aau		1															
㱯			ai		2	g&ng		oi		1&4															
㱰	z		ai		3	z		oi		2															
㱱	h	u	i		4		u	i		5&6															
㱲		i	i		4	z		i	k	7															
㲅	j		i		4	g		ai		3															
㲤	sh	u	ai		1	s		eoi		1															
㲥	t		a	ng	2	t		o	ng	4															
㲦	h		a	n	4	h		o	n	6															
㲧	s		ao		4	c&s		ou		3&3															
㲨	r		o	ng	2	z		u	ng	4															
㲩																									
㴼	s		u		4	s		u	k	7															
㴽	x	i	e		4	c&n&s		au&i&o	&t	3&4&8															
㴾	b		o		2	b		u	t	9															
㴿	d		i	ng	3	d		i	ng	2															
㵀	z		u		2	z		u	k	9															
㵁						f		o	ng	1															
㵂	sh		u		4	s	i	u		3															
㵃	sh		e		2	s		e		4															
㵄	h		a	n	4	&h	&u	i&o	k&n	3&9															
㵅	t		a	n	1	t		a	m	1&3															
㵆	g		ao		3	h		ou		6															
㵇																									
㵈																									
㵉																									
㷟	t	u	i		4	t		eoi		3															
㷠	l		i	n	2	l		eo	n	4															
㷡	j	i	o	ng	3	&g	u	aa&i&o	&n&ng	1&2&4															
㷢	zh		a		3	z		aa		2															
㷣	x		i	ng	1	s		i	ng	1															
㷤	h		u		4	h&k		o&u	k	8&9															
㷥						z		i	ng	1															
㷦	x		u		4	g&z	&u	i	k	7&9															
㷧																									
㷨																									
㷩						h		ei		1															
㷪	c	u	i		4	z	i	u	n	2															
㸕	j	u	e		2	f		o	k	8															
㸢	b		ei		4	b		ei		6															
㹄	j		i		4	z		i	k	7															
㹉		iu	a	n	2	z	i	u	n	4															
㹊		iu	e		4	ng		o	k	9															
㹋	x	i	u		1	s		aau		1&2															
㺎	r		o	ng	2	z		u	ng	4															
㺏	l		ou		2	l&z	&i	aau&u		4&4															
㺐	l		ao		3	z		au		2															
㺑	sh		a	n	1	c		a	m	4															
㺒	x	i	ao		1	h		aau		1															
㺓	z		e		2	z		i	k	7															
㻧	d	u	o		4	d		o		6															
㻨																									
㻩																									
㻪	s	u	i		4	s		eoi		6															
㼐	p	i	a	n	2	p		i	n	4															
㼑	l	i	a	n	4	l		i	n	6															
㼒	t		a	ng	3	t		o	ng	2															
㼲	l	i	e		4	l		i	t	9															
㼳	sh		e	ng	3	s&z		a&i	ng&p	2&8															
㼴			ou		3	ng		aau		5															
㼵	d		i		4	d&t&z		aai&i	&t	4&6&8															
㼶		i	u		2	n&z	&i	aau&u		4&6															
㼷	ch	u	a	n	2	c&z	i	u	n	1&4															
㽏	g		a	n	4																				
㽥	r		ou		2	z		aau		4															
㾪	sh		e	ng	3	s		aa	ng	2															
㾫	p	i	a	n	1	p		i	n	1															
㾬						g		aai		1															
