[																									
]																									
㠨		i	u		4	&g	u	aa	t	7&7															
㿜	b	i	e		3	b		i	t	9															
䖁		i	i		4	z		i		3															
䘎		u	a	n	1		u	a	n	1&6															
䠱	zh		u		2	z		u	k	9															
䤙	l		i		4																				
䦆	j	u	e		2	f&m		o	k&ng	4&8															
䭩	m		o		2	m		o		1															
䯀	n	i	e		4	&n&s	&u	aai&eoi&i	&p	1&2&9															
䶨	zh		a	n	1	t&z		a&aa	m	1&3&4															
囖	l		o		5	l		o		1															
戇	zh	u	a	ng	4	ng&z		o	ng	3&6	t		a	ng	None						k&s&t	&y	o&u	&u	None&None&None&None&None
欞	l		i	ng	2	l		i	ng	4	l	y	e	ng	None						r	&y	e&o	i&u	None&None
䖅	l		i	ng	2	l		i	ng	4															
爧	l		i	ng	2																				
欟	g	u	a	ng	5																				
癴	l	u	a	n	2																r		e	n	None
蠿	zh	u	o		1																				
豔		i	a	n	4		i	i	m	6													e	n	None
躨	k	u	i		2																				
钀	n	i	e		4		i	i	t	9															
钁	j	u	e		2	f&k	&i	o&u	k&t	8&8											k		a	ku	None
钂	t		a	ng	3	d&t		o	ng	2&2															
雧	j		i		2																				
饠	l	u	o		2																r		a		None
饡	z		a	n	4	z		aa	n	3															
驨	x		i		2	k	u	ai		4															
驩	h	u	a	n	1	f		u	n	1	h	w	a	n	None						k		a	n	None
鸘	sh	u	a	ng	1																				
鸙		iu	e		4																	y	a	ku	None
鸚		i	i	ng	1		i	i	ng	1			ay	ng	None							&y	o	u	None&None
麢	l		i	ng	2																				
黸	l		u		2																r		o&u		None&None
鼺	l		ei		2																r		u	i	None
齼	ch		u		3																				
齽	j		i	n	4																g&k		i&o	n	None&None&None
龞	b	i	e		1																b&h		e	tsu	None&None
,																									
