[																									
]																									
㒪						s		e	k	8															
㔶	g		o	ng	4	g&z		aa&i&u	&m&ng	1&2&3															
㘜	ch		i		3	c		aau		1&4															
㜻	l	i	a	n	4	l	i	u	n	2															
㜼	zh		i		2	d&z		aa&i	p&t	7&9&9															
㝲	q		i	n	3	c		a	m	2															
㲲	d	i	e		2	d&t		aai&i	&p	1&9															
㶠		i	i		4	z		i	k	9															
㸑	c	u	a	n	4	c&s	&i	eo&u	n	3&3															
㼖	l		i		4	l		aai		5															
䃻	b		a		4	b		aa		3															
䉷		i	a	n	2	l&z		a&i	m	4&4															
䕾		i	i	n	2	z		aa	m	4															
䚕	l		i		4	l		a&aai	&k	6&9															
䡽	z	u	a	n	1																				
䪌	zh		a	n	4																				
䪍	l		a	n	2	l		aa	n	4															
䭦	b		o		1	b		o	k	8															
䭧	m		i		3	m		ei		5															
䮾	l		o	ng	2	p		o	ng	4															
䰕	l		u		2	l		ou		4															
䲙	j	i	e		2	z		i	t	8															
䴎	l		ei		3	l		eoi		5															
䵵	ch	u	a		1	z	&i	a&u	t	8&8															
䶥	zh		a		1	z		eoi		2															
䶦	z		e		2	z		a	k	8															
圞	l	u	a	n	2	l	i	u	n	4											r		a	n	None
彠		iu	e		1																&k	&w&y	a	ku	None&None&None&None&None
欜	n		a	ng	2																				
欝		i	u		4		u	a	t	7													u	tsu	None
氎	d	i	e		2																t&z	y	o	u	None&None
灎		i	a	n	4							y	e	m	None								e	n	None
灤	l	u	a	n	2	l	i	u	n	4											r		a	n	None
灦	x	i	a	n	3																				
癳	l	u	o		3																				
矖	x		i		3	l		ai		6															
矚	zh		u		3	z		u	k	7	ch		o	k	None						s	&y	o	ku	None&None
籯		i	i	ng	2		i	i	ng	4															
籰		iu	e		4																	&w&y	a&i&o	ki&ku	None&None&None
虂	l		u		4																r		o&u		None&None
虃	j	i	a	n	1																				
虄	s		a		4																				
虅	t		e	ng	5																				
蠼	q		u		2	f&k		eoi&o	&k	4&8											&k	&y	a&e&u	&ki&ku	None&None&None&None
讚	z		a	n	4	z		aa	n	3	ch		a	n	None	t		a	n	3	s		a	n	None
讛		i	i		4																				
趲	z		a	n	3	z		aa	n	2	ch		a	n	None						s&z		a&o	&n	None&None&None
躦	c	u	o		2	z	i	u	n	1&2															
躧	x		i		3																r&s	&y	a&i	&i	None&None&None&None
釃	sh		ai		1	s		i		1	s		i		None						s	&y	i&o		None&None&None
釄	m		i		2																				
鑴	x		i		1	k	u	ai		4															
鑵	g	u	a	n	4	g		u	n	3	k	w	a	n	None						k		a	n	None
鑶	c		a	ng	2																				
鑷	n	i	e		4	n		i	p	9	s		e	p	None						z	y	o	u	None
鑸	l		ei		3																				
鑹	c	u	a	n	1																				
鑺	q		u		2																				
靊	f		e	ng	1																f&h		u	&u	None&None&None&None
韉	j	i	a	n	1	z		i	n	1											s		e	n	None
饞	ch		a	n	2	c		aa	m	4	ch		a	m	None	th		e	m	2	s&z		a&e	n	None&None
饟	x	i	a	ng	3	h		@	ng	2											s	y	o	u	None
驠		i	a	n	4		i	i	n	3															
驡	l		o	ng	2																				
驢	l		v		2	l		eoi&ou		4&4	l	y	e		None	l	ư	a		2	r	&y	o		None&None
驣	t		e	ng	2																				
髗	l		u		2						l		o		None						r		o		None
鱱	l		i		4																				
鱲	l	i	e		4	l		aa&i	p	9&9											r	y	o	u	None
鱳	l		i		4																				
鱴	m	i	e		4																				
鱵	zh		e	n	1	z		a	m	1											s		i	n	None
鱶	x	i	a	ng	3																s	y	o	u	None
鸓	l		ei		3	l		eoi		5															
鸔	b		ao		4																				
黶		i	a	n	3		i	i	m	2		y	e	m	None								a&e	n	None&None
鼊	b		i		4						p	y	e	k	None										
龤	x	i	e		2	h		aai		4											k		a	i	None
龥		i	u		4		i	u		6		y	u		None							y	a&u	&ku	None&None
