[																									
]																									
㐥																									
㒙	m	i	a	n	2	m		i	n	4&6															
㒚		i	i	n	4		u	aa	n	2															
㒛	d	i	ao		4	d	&i	eoi&u		2&6															
㒜		i	u		3	z	i	u		5															
㔋	j	i	a	n	1	h&l		a	m	3&5&6															
㔌	z		ou		4	s&t&z		a&au&e&ei&i	&k&m&p	3&3&6&8&8&8															
㔍	ch	u	a		1	c&z		a&aa&aai	&p	3&3&8															
㗻	g	u	o		1	g	&u	o		1&3&6															
㗼		i	e		4	z		i	p	9															
㗽	x	i	a	ng	3	h		@	ng	1&2															
㗾	x	u	e		1	h		eoi		1															
㗿	h		e		2	l		aa		4															
㘀	z	u	o		4	z		o	k	8															
㘁		i	i		4	z		i	k	9															
㘂	c		i		2	c		i		4															
㘃																									
㘄	l		e	ng	1																				
㙰	x	i	e		4	h		ai		6															
㙱	h		ao		4	h		ou		6															
㙲		i	o	ng	3	z		u	ng	1															
㙳	k		a	n	3	h		a	m	2															
㙴	ch		a	n	4	c		i	m	1						th		ê	m	2					
㙵	t		ai		2	t		oi		4															
㙶	t		a	ng	2	t		o	ng	4															
㚡	j		i		3																				
㜩			ao		4			ou		3															
㜪	sh		e	n	1	s		aa&i	n	1&2															
㜫	m		a		4	m		ei		5															
㜬																									
㜭																									
㝇	ch		u	n	2	s		eo	n	4															
㠑	z	u	i		4	z		eoi		6															
㠒	b	i	ao		3	b	i	u		2															
㠓	m		e	ng	2	m		u	ng	4															
㠔	b		ai		4	b		ai&e		3&6															
㠕		u	ei		3		u	aai		5															
㠖		i	i		3	z		i		4&6															
㠗			ao		4	&b		ei&ou		1&3															
㡢	m		a	n	4	m		aa	n	6															
㡣	l		o	ng	2	l		u	ng	4															
㡤																									
㡮	j		i		2	g&k		aa	p	9&9															
㢙	q		i	n	2	g&k&s		aa	n&p	2&4&7															
㢚	l		u		3	l		ou		5															
㢛		i	a	n	4	z		i	m	6															
㢜	k		a	ng	4	k		o	ng	2															
㢣	j		i	ng	4	k		i	ng	4&4															
㣈	s		i		4	s		i		3															
㣓	c		a	n	4	c		aa	n	3															
㣵	t		a		4	t		aa	t	8															
㣶	zh		a	n	1	z		i	n	1															
㦌	h		u		1	f		a	t	7															
㦔		i	a	n	4	z		i	m	1															
㦗	j		i	n	1	g&k&n		aa	m&p	1&3&4&7															
㦙																									
