[																									
]																									
㒤	ch		e		4	s&z		i	p	8															
㒥	f		e	ng	1	f&g		aa&u	m&ng	1&2															
㒦	l		ei		3	d&l		eoi		3&5															
㒹						d		i	n	1															
㔒	x		i		2	k	u	ai		4															
㘓	l		a	n	2	l		aa	n	4						r		a	n	1					
㘔	s		ai		3	c		oi		3															
㘥		i	ou		2	z		aau		4															
㚀	x		i		1	h		ei		1															
㜶		u	a	n	3	m		a	n	5&6															
㜷	m		i		2	l&n		aau&ai		4&5															
㜸	n	i	e		4	z	&i	i&u	&p&t	1&9															
㠤																									
㡧	zh		e	ng	4	c&z		i&oe	ng	1&3															
㡨	j	i	a	n	1	c		i	n	1															
㢞		i	i		4	z		i		6															
㣹																									
㦣		u	ei		4		&u	a&aai&u	&n&t	2&6&8															
㦤		i	i		4	z		i		3															
㦨	l		a	n	2	l		aa	n	5															
㦩		i	i	n	3	z		aa&eo	n	2&6															
㦪	x	i	e		4																				
㩮	q	i	a	n	2	k		i	n	4															
㩯	p		o		2	p		u	n	4															
㩰	j	i	ao		3	z	i	u		2															
㪭	l		u		2	l		ou		4&6															
㬫		i	a	n	4	z		i	n	3															
㰉						z		eo	n	1															
㰊	x	i	a	n	2	c		aa&i	m	4															
㰋	p		i	n	2	p		aa&ei	&n	1&4															
㰌	q	u	e		4	g&h&k	&u	o	k	8&9															
㰍	l		o	ng	2	l		u	ng	4															
㰎	z	u	i		4	z		eoi		3															
㰏						g		ou		1															
㰐	j	u	e		2	d&t		o		5&6															
㰑	sh		a	n	1	s		a	n	1															
㰒	x	u	e		2	h		o	k	9															
㰓																									
㰖	l		a	n	3	l		aa	m	5															
㱋	q	u	e		4	k		o	k	8															
㱹	l		i		4	l		i	k	9															
㱺	l		u		2	l		ou		4															
㶌	l	i	a	n	2	l	i	u	n	4															
㶍	x	i	a	n	3	s		i	n	2															
㶎	h	u	a	n	2		u	aa	n	4															
㶏		i	i	n	1	z		aa	n	1															
㶐																									
㶑	l	i	a	n	4	l		i	m	6															
㸈						z	i	u		1															
㸊	l		ai		4	l		a&ai	&t	6&9															
㸋	f		a	n	2	f		aa	n	4															
㸌	h	u	o		4	f		o	k	8															
㺣	x		i		1	h&s		ei&i	&k	1&7															
㺤	x	i	a	n	1	c		i	m	1															
㺥	ch		a	n	2	c		aa	m	4															
㺦	l	i	a	n	2	l	i	u	n	4															
㼇	q	i	o	ng	2	k		aai&i	&ng	3&4															
㽮						s		i	ng	1															
㿔	l		ei		3	l		eoi		5															
㿺	b		ao		2	m&p		o	k	7															
䁻	sh	u	o		4	s		oe	k	8															
䁼	m		o		4	m		a	k	9															
䁽	l	i	e		4	l		aa&i	p	8&9															
䁾	m	i	e		4	m		aa&i	t	9															
䂍	b		o		2	b		o	k	9															
䃱	x	i	a	n	4	c		i	m	1															
䃲	p		a	n	2	b&p&t		a&o&u	&m&n	2&4															
䃳	l		a		4	l		aa	p	9															
䄣																									
䆈	zh		i		4	z		i		6															
䆉	b		a		4	b&p		aa&i	&ng&t	3&6&8															
䇀	r		o	ng	2	z		u	ng	4															
䉥	s		o	ng	3	s&z		u	ng	1															
䊭	d		ao		4	d		ou		6															
䊮	d		i		2	d		e	k	9															
䌣	z	u	a	n	3	&z	i&u	aai&u	&n&t	2&9															
䌤	sh		i		1	s		i		1															
䌥		i	i	n	3	z		aa&i	&n	1&2															
䌦	d		ao		4	d		ou		6															
䌧	ch		ou		2	c		au		4															
䎙	p		i	n	1	b		aa	n	1															
䏉	sh		i		1	s&z		aa	m&p	1&7															
䑉		i	i	ng	2	z		i	ng	4															
䑊		u	ei		2																				
䒉		u	u		3	m		ou		5															
䕒	j	i	a		1	g		aa		1															
䕓	ch		a		2	c		aa	t	8															
䕔	x	i	a	n	2	h		aa	m	4															
䕕	m		a	n	4	m		aa	n	6															
䕖						s	i	u	n	1															
䕗	b		i		4																				
䕘	l		i	ng	2	l		i	ng	4															
䕙	j	i	e		2	z		i	t	9															
䕚	k	u	i		4	g	u	ai		6															
䕛	j	i	a		2	g		aa	p	8															
䕜																									
䕝	ch		e	ng	1	c		i	ng	1						s		ă	ng	3					
䗼	x		u	n	1	&f	&u	aa	n&t	1&7															
䗽		u	ei		4																				
䗾	x	i	a	n	3	h		i	n	2															
䗿	n		i	ng	2	n		i	ng	4															
䘀	f		u		4	&f	&u	aai&aau		3&6															
䘁	g		e		2	z		i	t	9															
䘙		u	ei		4		u	ai		6															
䙦	m		e	ng	2																				
䙧						f		a	n	1															
䙨	g	u	o		3	g	u	o		2															
䙩	m		e	ng	2	m		u	ng	4															
䚪	g	u	a	n	1	g	u	aa	n	1															
䚫	x		i		2																				
䜒			ao		4			ou		3															
䜓	sh		e		4																				
䜔	s	u	i		2	c&n		eo&eoi	&t	4&9															
䜕	m		ai		4																				
䜖	t		a	n	4	d&t		a	m	4&6															
䜗	x		i	n	4																				
䜘	j		i	ng	3	g		i	ng	2															
䞉	sh		e	ng	4	s		i	ng	6															
䟈	zh		i		2																				
䟉	zh		u		2	z		u	k	9															
䟊	q		u		2																				
䟋	zh		a	n	3																				
䠨	ch		a	n	4	z		i	m	1															
䠩	g	u	i		4	g	u	i		6															
䡀	zh		a	n	3	z		i	n	3															
䡶	b		ei		4	p		ei		1&3															
䢄	x		i		3	s		aai		2															
䢈	ch		e	n	2	s		aa	n	4															
䢉	n		o	ng	2	n		u	ng	4															
䥔	s		u		4	s		u	k	7															
䥕	p	i	e		3																				
䥖	t	i	a	n	2	t		i	n	4															
䥗	k	u	a	n	3	f		u	n	2															
䥘	c		u		4	c		o&ou	&k	3&8															
䥙	s	u	i		4	s		eoi		6															
䥚						c&z		o		1&3															
䥛	j	i	e		1	g		i	t	8															
䥜	j	i	a	n	4	g		a	n	3															
䦃	zh	u	o		1	c&p&z		ai&i&oe	&k&ng	1&3&8															
䦄																									
䦅	sh		a	n	4	s		i	n	3															
䦱		u	ei		3		u	ai		2															
䧯	ch		a	n	2	c		aa	m	4															
䨅	l	i	ao		2	l	i	u		4															
䨆	b		i		2	b		ai		3															
䨇						s		oe	ng	1															
䨰	p		o		4	b&f&p		a&o&u	k&n	2&8&9															
䨱	f		u		4	f		u	k	9															
䩁	f		ei		1	f		ei		1															
䩋	m		o		3	m		o		1															
䩼	f		e	ng	2	f		u	ng	4															
䩽		i	u		1	z	i	u		1															
䩾	zh		e		4	z		e		3															
䪣						z		ai		1															
䫨			ao		4	ng		ou		6															
䫩	s		a	n	3	s		a	n	2															
䫪	sh	u	a	ng	3	s		i&o	n&ng	1&2															
䫫	l		ou		2	l		au		4															
䬛	b		i		4	b		i	t	7															
䬜						c		i		1															
䭕	z		a	n	3	c&z		a&i	m&n&t	2&3&9															
䭖	zh		u		4	z	i	u		3															
䭗		i	i	ng	3	z		i	ng	2															
䮣						s		o	ng	1															
䮤	h		e		2	h		o	k	9															
䮥	l		i		4	l		i	k	9															
䮦						g	i	u		1															
䮧	h		a	n	4	h		o	n	4&6															
䮨	z		ai		3	z		oi		2															
䮩	g		u		2	&g	&u	aa&u	t	7&9															
䯅	n	i	e		4	n		i	p	9															
䯡	j	i	a	n	4	g		i	m	3															
䰈	c	u	o		2	c&g&z	&u	aa&aau&o	&n	1															
䰉	p		a	n	2	b&p		a&u	n	1&2&4&6															
䰊	b		o		2	b		o	k	8															
䰋	m		a	n	2	m		a	n	4															
䰗						g		au		1															
䰪	m		ei		4	m		ei		6															
䱫	l		a		4	l		aa	t	9															
䱬	x		u		1	s		eoi		1															
䱭	g		e	ng	4	g		a	ng	2															
䱮			e		2	ng		a	k	9															
䱯	m		u		2	m		ou		4															
䱰	zh		o	ng	4	c		eoi&u	&ng	4&5															
䱱	t		i		2	t		ai		4															
䱲		iu	a	n	2	z	i	u	n	4															
䱳	zh		a	n	1	z		i	n	1															
䱴	g		e	ng	4	g		aa	ng	2&3															
䲠	ch		u	n	1	c		eo	n	1															
䲡	q	i	u		1	c		au		1															
䳦	x	u	a	n	1	h&k	i&u	aa&u	n	1&2															
䳧	h		ou		2	h		aau		4															
䳨	h	u	a	ng	2		u	o	ng	4															
䳩		i	ao		1	z	i	u		1															
䳪	j	u	a	n	4	t&z	&i	eo&u	n	1															
䳫	k	u	i		2	k	u	ai		4															
䳬			e		4	&b&f&g&t&z		aa&ei&i&o&ou	&k&m&ng&t	2&3&4&8&9															
䳭	j		i		2	z		i	k&t	7															
䳮	m		o		4	m		aa	k&t	9															
䳯	ch		o	ng	2	c		u	ng	4															
䳰	b		ao		3	b		ou		2															
䴗	j		u		2	g	u	i	k&ng	2&7															
䵈	k		u		4	g&h		u	k	7															
䵉	t		ou		2	t		au		4															
䵍						t		a	n	1															
䵔	d		o	ng	3	d		u	ng	2															
䵕	j		u		4	g		eoi		3															
䵖	q	i	a	n	4	g		i	n	3															
䵪	g		u	n	4	g	u	a	n	3															
䵫	x		u	n	1	f		a	n	1															
䵬	t		a		4	d		aa	p	9															
䶍	d		i		4	t		ai		3															
䶎	h		e		1	h		o	t	8															
䶗	k		e		4	h		a	p	8															
䶘	l		i		4	l		aa	p	9															
䶙	j		u		4	g		eoi		6															
䶭																									
䶮		i	a	n	3	z		i	m	5															
䶰	j	i	ao		1	z	i	u		1															
儶	h	u	i		4																				
匷	j	u	e		2																g&k	&y	o		None
嚱	x		i		4	h		ei		3											k		i		None
嚲	d	u	o		3	d		o		2											t		a		None
嚳	k		u		4	g		u	k	7	k		o		None						k		o	ku	None
嚴		i	a	n	2		i	i	m	4			e	m	None	ngh	i	ê	m	1	g		e&o	n	None
嚵	ch		a	n	2	c		aa	m	4											s&z		a&e	n	None
嚶		i	i	ng	1		&i	a&i	ng	1			ay	ng	None			i	nh	1			o	u	None
嚷	r		a	ng	3		i	oe	ng	5&6											z	y	a	u	None
嚸	d	i	a	n	3																				
嚹	l		a		5	l		aa		3															
壣	l		i	n	2																r		i	n	None
壤	r		a	ng	3		i	oe	ng	6		y	a	ng	None	nh	ư	ơ	ng	6	z	y	o	u	None
