[																									
]																									
㐁	t	i	a	n	4	t		i	m	2															
㐂																									
㐆		i	i	n	3	z		aa	n	2															
㐐																									
㐑																									
㐒																									
㐓																									
㐔																									
㐕																									
㐪																									
㐫	x	i	o	ng	1	g&h&z		@&u	n&ng	1&1&3															
㐸	q	i	a	n	4	g&h		i	m	1&3															
㐹		i	i		4	g&k&ng	&u	aa&o	&k&t	1&8&9															
㐺		i	i	n	2	z		u	ng	3															
㐻	n		ei		4	f&m&n		oi&ou&u		1&5&6															
㐼	ch		e	ng	4	c		i	ng	2															
㐽	f		e	ng	1	f		u	ng	1															
㐾																									
㐿																									
㑀																									
㒫	j		i		4	g&h		ei		2&3															
㒲	c		ai		2	c		oi		4															
㓆																									
㓇																									
㓙						h&k		@&u	ng	1&4															
㓝	x		i	ng	2	z		i	ng	4															
㓞	q	i	a		4	k		aai		3															
㔔																									
㔕	j		i		2	g&k		aa&aau	&t	1&7															
㔖																									
㔺	sh		i		4	s		aai&i		3&6															
㔻						p		ei		1															
㕂		i	i	n	2	z		aa	m	4&6															
㕃	x		i		1	h&k&l&z		a&aai&i	&m&p	1&3&4&8															
㕄	zh		i		3	z		i		3															
㕜	sh		i		3	s		ei&i		2&3															
㕦	h	u	a		4	&z	i&u	aa&u		5&6															
㕧	x		i		1	s		i		1															
㕨	f		a	n	4	f		aa	n	6															
㘟																									
㚏	g		ao		3	g&z	&i	ou&u		2&5															
㚐	t		ao		4	t&z		ou		3&6															
㚑																									
㚣	x	i	ao		2	g&h		aau		2&4															
㚤		i	i		4	z		i	k	9															
㚥		i	u		2	z	i	u		1															
㚦		i	i		2	g		ei		1															
㚧		i	a	n	3	ng&z		a&i	m	4&5															
㚨	sh		e	n	3																				
㜽	z		i		3	d&z		aai&i		2&2															
㝌	j	i	u		4	g		au		3															
㝍	x	i	e		3	s		e		2															
㝼		i	u		1	z	i	u		1															
㞌		i	u	n	4	l&z		aa&ai	&n	1&6															
㞍																									
㞨	z		i		3	z		i		1&2															
㞩	l		a	n	2	l		aa	m	4															
㞪	n		ao		2	m&n		au		4&6															
㞫	j		u		4	z		aau&au		2&2															
㞬	q		i	n	4																				
㞭	d		ai		4	d		aai		6															
㞮																					s	&y	u	i&tsu	None&None
㞯	j	i	e		2	z		i	t	8															
