[																									
]																									
一		i	i		1		i	a	t	7			i	l	None	nh		â	t	7			i	chi&tsu	None&None
丨	g		u	n	3	&k	i&u	a	n&t	2&7											&k&s&z	&y	i&o	&n	None&None&None&None
丶	zh		u		3	z	i	u		2											t	y	u		None
丿	p	i	e		3	p		i	t	8						ph		ê	t	7	&h	&y	e&o	chi&tsu&u	None&None&None
乀	f		u		2																b&f		u	chi&tsu	None&None
乁		i	i		2																		i		None
乙		i	i		3		i	u	t	8&9			u	l	None			â	t	7			o	tsu	None
乚		i	i	n	3																		i&o	n	None&None
乛		i	a		5																				
亅	j	u	e		2	k	i	u	t	8											k		e	tsu	None
