[																									
]																									
㦭	l		i	ng	2	l		i	ng	4															
䉸	b	i	a	n	4	b		i	n	6															
䌵	zh		u		2	z		u	k	7															
䕿	h		a	n	4	h&s		a&o&oe	m&n&ng	2&3&3															
䖀						c&h	&i	eoi&u		1&3															
䙱	d		u		2	s		u	k	9															
䡾	n	i	e		4	ng		aai		5															
䨹	sh		u		1	s		u	k	7															
䪎	s	u	i		1	s		eoi		1															
䭨	sh	u	i		4	s		eoi		3															
䭳		u	ei		4	ng		ai		6															
䮿	j	i	a	n	3	g		i	n	2															
䲚	l		ai		4	l		a&ai	&m	6&6															
䲛	m		e	ng	2	m		u	ng	4															
䴏		i	a	n	4	z		i	n	3															
䶐		u	ai		4	f		ai		3															
䶧		i	ao		3	ng		au		5															
䶵	ch		i		2	c&s		i		4&4															
灥	x		u	n	2																s&z	&y	e&u	n	None&None&None
灧		i	a	n	4																		e	n	None
灨	g		a	n	4	g		a	m	3															
犫	ch		ou		1																				
糷	l		a	n	4	l		aa	n	4&6															
纜	l		a	n	3	l		aa	m	6	l		a	m	None						r		a	n	None
纝	l		ei		2																r		u	i	None
虆	l		ei		2	l		eoi		4											r		a&u	&i	None&None
虇	q	u	a	n	3	h	i	u	n	2															
虈	x	i	ao		1	h	i	u		1												y	o	u	None
虉		i	i		4																				
蠽	j	i	e		2																				
蠾	zh		u		2																				
讜	d		a	ng	3	d		o	ng	2	t		a	ng	None						t		o	u	None
讝	zh		a	n	2																				
讞		i	a	n	4		i	i	n	6			e	n	None						g		e	chi&n&tsu	None&None&None
豓		i	a	n	4		i	i	m	6													e	n	None
貜	j	u	e		2	f		o	k	8											&k	&y	a&e&u	&ki&ku	None&None&None&None
躩	j	u	e		2	f		o	k	8	k	w	a	k	None						&k	&y	a&e	ki&ku	None&None&None
躪	l		i	n	4	l		eo	n	6	l		i	n	None						r		i	n	None
軉		i	u		4																				
轥	l		i	n	4																r		i	n	None
釅		i	a	n	4		i	i	m	6		y	e	m	None						g		e	n	None
鑻	p		a	n	4																				
鑼	l	u	o		2	l		o		4	l		a		None	l		a		1	r		a		None
鑽	z	u	a	n	1	z	i	u	n	1&3	ch		a	n	None						s		a	n	None
鑾	l	u	a	n	2	l	i	u	n	4	l		a	n	None						r		a	n	None
鑿	z		ao		2	z		o	k	9	c&ch		a&o	&k	None&None	t		a	c	8	s		a&o	ku&u	None&None
靋	l		i		4																				
靌	b		ao		3						p		o		None										
靍	h		e		5																				
靎	h		e		4																k		a	ku	None
顳	n	i	e		4	n		i	p	9	s		e	p	None						s&z	y	o	u	None&None
顴	q	u	a	n	2	k	i	u	n	4	k	w	a	n	None						k		a&e	n	None&None
飌	f		e	ng	1	f		u	ng	1											f		u	&u	None&None
飍	x	i	u		1																				
飝	f		ei		1																				
馫	x		i	n	1																				
驤	x	i	a	ng	1	s		oe	ng	1		y	a	ng	None						s&z	y	o	u	None&None
驥	j		i		4	k		ei		3	k		i		None						k		i		None
驦	sh	u	a	ng	1	s		oe	ng	1															
驧	j		u		2																				
鬤	r		a	ng	2		i	oe	ng	4															
鬮	j	i	u		1	g		au		1	k	w	u		None							y	u	u	None
鬰		i	u		4																		u	tsu	None
鱷			e		4	ng		o	k	9											g		a	ku	None
鱸	l		u		2	l		ou		4	l		o		None	r		ô		1	r		o		None
鸕	l		u		2	l		ou		4	l		o		None						r		o		None
鸖	h		e		4																k		a	ku	None
鸗	l		o	ng	2																				
黷	d		u		2	d		u	k	9	t		o	k	None						t		o	ku	None
齈	n		o	ng	4																				
蘒	q	i	u		5																				
