[																									
]																									
㐦																									
㒡		i	ou		2	z		aau		4															
㒢																									
㒣																									
㔑	ch		i		4																				
㘐	p		ao		4	c&p		au&i	&t	3&8															
㘑	l		i		4	l		ai		6															
㘒																									
㙾	x		i		4	h		o	k	9															
㙿																									
㜲		u	e	ng	3	z		i	ng	4															
㜳	h	u	ai		2	&g	u	aai&ai		1&4															
㜴	m		e	ng	4	m		u	ng	6															
㜵	n	i	ao		3	n	i	u		5															
㞡	zh		a	n	3	z		i	n	2															
㠠	l		u		2	l		ou		4															
㠡	n	i	ao		3	m&n	&i	u	&k	5&9															
㠢	h	u	ai		2		u	ai&i	&k	4&9															
㠣	l		i		4	l		i	k	9															
㢝	s		u		1	s		ou		1															
㣸																									
㦥	x	u	a	n	1	h	i	u	n	1															
㦦	x		i		4	h		a	k	7															
㦧	c		a	n	3	c		aa	m	2															
㩬						h&ng		aa&ei	&t	1&9															
㩭	b		o		2	g		aau		2															
㬩	h	u	i		4		u	aai		6															
㬪	d	i	e		2	d		i	p	9															
㯾	z		ao		1	z		ou		1															
㯿	l	i	e		4	l		i	p	9						x		ô	p	8					
㰀	l		i		2	l		ai		4															
㰁	l	u	o		3	l		o		2						l	o	i		6					
㰂	sh		e	n	3	s		a	m	2															
㰃	m	i	a	n	2	m		i	n	4															
㰄	j	i	a	n	4	z		i	n	1&3															
㰅	d		i		2	d&z		a&e&i	k	7&9&9															
㰆	b		ei		4	b		ei		6															
㰇						c&z		i	m	1&3															
㰈	l	i	a	n	3	l		i	m	5															
㱊		i	ou		1	z		aau		1															
㲱	l	i	e		4	l		i	p	9															
㶄		i	a	n	2	t&z		eoi&i	&m	4&4															
㶅	x	u	e		2	h		o	k	9															
㶆	zh		u		1	z	i	u		1															
㶇	h		e	ng	2		u	aa	ng	4															
㶈		i	i	ng	2	z		i	ng	4&6															
㶉	x		i		1																				
㶊																									
㶋																									
㸆																									
㸇	z	u	a	n	3																				
㸉	x	i	e		4	s		i	t	8															
㹙		u	e	ng	3	z		i	ng	4															
㺡	l		i		4	l		i	k&m	5&9															
㺢	h	u	o		4	k		u	t	8															
㼃																									
㼄						g&h&k&z		aau&ei&i	&n	1&3&5&5															
㼅																									
㼆																									
㽈		i	i		4	ng		aai		6															
㽉	x	i	a	n	4	g&h		a	m	3&3															
㽭	r	u	a	n	3	z	i	u	n	5															
㿑		i	ao		4	z		oe	k	9															
㿒	d		ao		3	t		ou		2															
㿓	j	i	a		2	g		aa	p	8															
㿧	ch		ou		2	c&m		aau&ai		4&4															
䀊	j	i	ao		3	g&h		au&ei		2&3&6&6															
䃰	c		a		1	c		aa	t	8															
䄢	q		i		2	z		aai		1															
䆾	l		a	n	2	l		aa	m	4															
䆿		i	i		4	g&ng		aa&aai	&m	3&6															
䇕						d&s&z	&i	eoi&u		1&3&3															
䉏	x	i	e		4	&h		aa&ai	&m	2&6															
䉛		i	u		4	z		u	k	7															
䉜	zh		i		4	z		i		6															
䉝		i	i		3	z		i		2															
䉞	d		a	n	3	c&d		a&aa&aau	&m&ng	2&2&4															
䉟	h	u	o		4		u	o	k	9															
䉠		u	ei		2	m		ei		4															
䉡	t		a	n	2	t		a	m	4															
䉢	s		e		4	s		aa	p	7															
䉤	s		ou		3	s		aau		2															
䊪	l		i		4	l		ai		6															
䊫	c	u	i		3	c		eoi		1															
䊬	ch	u	a		1	c		aa		3															
䌜	n	i	e		4	n		i	p	9															
䌝	j		i	n	1	g		a	m	1															
䌞	l	i	a	n	3	l		i	m	5															
䌟	b		o		2	p		e	k	8															
䌠	j	i	a	n	1	z		i	m	2															
䌡	t		i		3	t		ai		2															
䌢	l		i	ng	2	l		i	ng	4															
䍁	s	u	i		4	s		eoi		6															
䍤	j		i		3	z		aai		1															
䑆		i	a	ng	3	z		oe	ng	5															
䑇	zh		i		4	z		a	t	7															
䑈	b		o		2																				
䕅	s		ao		3	s		ou		2															
䕆	d		ou		4																				
䕇	h	u	i		4																				
䕈	x	i	e		4	d&s		eo&i&ou	&p&t	3&7&8&9															
䕉	z		e		2	z		a	k	8&9															
䕊	t		a	n	2	s&t		a&i	k&n	4&7															
䕋	t		a	ng	2	t		o	ng	4															
䕌	zh		i		4	z		i		6															
䕍		i	i		4	z		aau&eoi		5&6															
䕎	f		u		2	f		u	k	7															
䕏			e		2	ng		o		4															
䕐																									
䕑	j		u	n	4	s		eoi		1															
䗴	t		i	ng	2																				
䗵	j	i	a	ng	1	g		oe	ng	1															
䗶	l		a		4	l		aa	p	9															
䗷		i	i		4	z		i	&k	3&7															
䗸		i	o	ng	1	z		u	ng	2															
䗹	c		i		4	c&z		i		3&4															
䗺		i	a	n	3	z		i	n	4															
䗻	j	i	e		2	z		i	k&t	7&8															
䙤	d	u	o		3																				
䙥	l		i	ng	2	l		i	ng	4															
䚏	l		i	n	4																				
䚐	j		i		2																				
䚑	m		ai		2																				
䚒	ch	u	a	ng	2	s&z		o	&ng	2&6															
䚓	n	i	a	n	3																				
䚨	f		ei		4	f		ai		3															
䚩	j	i	ao		3	f&h&k&z	&i	aa&u	&n	1&4&4&4															
䚬	l		i	n	2	l		eo	n	4															
䜋	h	u	i		4																				
䜌	l	u	a	n	2	l	i	u	n	4															
䜍	l	i	ao		2	l	i	u		4															
䜎	l		ao		2	l		ou		4															
䜏	t	u	o		1																				
䜐	h	u	i		1																				
䜑		u	u		4	&m		u	&ng	3&4															
䝐		u	ei		2	c&d&z		i&o&oe&u	&k&t	6&8&8&9															
䝑	ch		o	ng	1	c		u	ng	1															
䝣	q		u		2	k		eoi		4															
䝤	l		ao		3	l		ou		5															
䝥	h		ao		2	h		ou		4															
䝦	zh		o	ng	1																				
䞈	g	u	i		4	g	u	ai		3															
䟇	j		i		1	g		ei		1															
䠣	x	u	a	n	3	s	i	u	n	2						r		o	n	3					
䠤	d	u	o		3																				
䠥	b	i	e		2	b		i	t	9															
䠦	zh		e		4	c&s&z		i		3&3&3															
䠧	ch		u		2																				
䠿		u	ai		4	k	u	i		2															
䡲	ch		a	n	2	d		a	n	1															
䡳	s		i		1	s		i		1															
䡴	ch		o	ng	1	c		o&u	ng	1&4															
䡵	s	u	i		4	s		eoi		6															
䢱	d		u		2	d		u	k	9															
䤎	j		u		2																				
䤏	p		i		3	p		ei		2															
䤐	j		i	n	3																				
䤑		u	a	ng	4																				
䤒	j		i		4																				
䥈	m		u		3	m		ou		5															
䥉		iu	a	n	1	z	i	u	n	1															
䥊						c		oe	ng	1															
䥋	p		e	ng	1	b&p		a&aa&o	ng	1&1&4															
䥌	zh		e	ng	4	t&z		i	ng&p	3&8															
䥍	zh		i		4	z		i		3															
䥎	ch		u	n	2	s		eo	n	4															
䥏		i	u		3	z	i	u		5															
䥐	m		ou		2	m		au		4															
䥑		u	a	n	4																				
䥒	j	i	a	ng	4	g		oe	ng	6															
䥓	q		i		1	k		ei		4															
䦋			ao		2	ng		ou		4															
䦰						g		au		1															
䧮	x	i	a	n	4	h		i	n	3															
䨄		i	a	n	4			a&aa	m&n	1&3															
䨫	m		ai		4	m		aa	k&n	6&9															
䨬	l	i	a	n	2	l		i	m	4															
䨭	x	i	ao		1	s&t	&i	ou&u		1&4															
䨮	x	u	e		3	s	i	u	t	8															
䨯	zh		e	n	4	z		a&aa	n&ng	1&6															
䩶	ch		a	n	3																				
䩷	b		a	ng	1	b&p		a&o	ng	1&4															
䩸	r		o	ng	2	z		u	ng	4															
䩹			e		2	ng		a	k	9															
䩺		u	e	ng	1	z		u	ng	1															
䩻	b		a		4	b		aa		3															
䪙	p		o		4	p		o	k	8															
䪚	d		a		1	t		a	p	8															
䪡						z		ai		1															
䪢						z		ai		1															
䪮	ch		ou		3	z		aau		1															
䪯		i	i	ng	1			a	ng	1															
䫞	q	i	ao		1	k	i	u		5															
䫟	h		u	n	4		u	a	n	6															
䫠	p		i		1	p		ei		1															
䫡		i	a	n	2	h&ng		a&i	m	3&4															
䫢	s		i		1	s		i		1															
䫣	x		i		2	h&k		aai&i	&t	3&4&8															
䫤	m		i	ng	2	m		a&i	ng	1&4															
䫥	k	u	i		3	ng		aai		5															
䫦	g		e		2	g&h&k		aa&o&oi	&k&p	3&8&8															
䫧																									
䬘	x	i	ao		1	g&h&m&z	&u	a&au&i&ou	&k&n&ng	1&3&4&5&7															
䬙		i	ao		2	z	i	u		4															
䬚						f&k		a&aau	&n	1&3&4															
䭐		i	a	ng	4	s&z		eoi&oe	&ng	1&6															
䭑	l	i	a	n	2	l		i	m	4															
䭒	x		i		1	s		i	k	7															
䭓			e	n	4	n		eo	t	9															
䭔	d	u	i		1	d		eoi		1															
䭮	f		u		2	&b&f&h&t		aa&au&eoi&o	&t	1&1&4&6&7															
䮜	zh		a		2	c&s		a&aa	p	8&8															
