[																									
]																									
㒧	l		i		4	l		ai		6															
㒨						s		i	n	1															
㔮	n	u	o		2																				
㘕	h		a	n	3	h&l		a	m	3&4															
㘖		i	a	n	2	ng		a	n	4															
㘗	q		u		1																				
㜹	q		u		2	k		eoi		4															
㝱	m		e	ng	4	m		u	ng	6															
㠥	l		v		4	l		eoi		6															
㠦	f		e	ng	1	f&g&h		aa&u	m&ng&t	1&3&9															
㣆	m		i		2	n		ei		4															
㩱	j	u	e		2	z		oe	k	8															
㩲	k		u	n	3	f&k	&i	u	n	1&4															
㩳	s		o	ng	3	s		u	ng	2															
㩴	j		u		2	g		u	k	9															
㪮	l		i	ng	2	l		i	ng	4															
㰔	x	i	e		4	s		i	t	8															
㰕						h		ei		1															
㶒	sh		a	n	3	s		i	m	2															
㶓	c		a	ng	2	c		o	ng	4															
㶔	b		ei		4	b		ai&ei		6&6															
㶕	j	i	a	n	3	g		aa	n	2															
㶖	sh		u		4	s		u	k	7															
㶘	d	i	a	n	4	t		i	m	5															
㸍	x		i		4	h		ei		3															
㸥	ch		a	n	4	c		a	m	4															
㹚		i	i	ng	2	z		i	ng	4															
㿕		i	a	n	2	z		i	m	4															
㿖	l		u		2	l		ou		4															
㿗	t	u	i		2	t		eoi		4															
㿨	l		i		4	l		i	k	9															
䀋		i	a	n	2	&n&z	&i	a&i	m	4&4&4															
䁿	m		o		4	m		a	k	9															
䂀	x		i		1	h		ei		1															
䃴	zh		u		1	z	i	u		1															
䃵	n	i	ao		3	n	i	u		5															
䃶	h	u	ai		2		u	aai		4															
䃷		i	i	ng	2	z		i	ng	4															
䄤	l		ai		4	l		aai		6															
䆊	c	u	i		4	s		eoi		6															
䆋	q	i	u		1	c		au		1															
䆌																									
䆍	l		o	ng	2	l		u	ng	4															
䉦	q	i	a	n	1	c		i	n	1															
䉧	l	i	u		2	l		au		4															
䉨		i	i		4	ng		aai		6															
䉩								aau		1&1															
䉪	l		ei		4	l		eoi		6															
䉫	l		i		2	l		ai		4															
䉬	f		ei		4	b&f		aai&i	&t	3&7															
䉭	l	i	e		4	l		a&i	p	9&9															
䊯	k	u	a	ng	4	k	&u	o	ng	3&4															
䌨	c		a		1	c		a	t	8															
䌩	m	i	e		4	m		i	t	9															
䍥	l		i		4	l		i	k	9															
䎚	g	u	a	n	4		u	ai		6															
䎱	b		a		4	p		aa		4															
䑋	r		a	ng	3	z		oe	ng	5															
䑌	l		a	n	2																				
䑍		i	a	n	1	z		i	n&ng	1&2&3															
䑎	ch		a	n	3																				
䑟	h	u	a	ng	2		u	o	ng	4															
䕞	l		a	ng	4	l		o	ng	6															
䕟	x		i	ng	1	g&h		@&u	k&ng	1&7															
䕠	f		ei		4	f		ai		3															
䕡	l		v		2																				
䕢	zh		a		3																				
䕣	h		e		2	h		aa&o	p&t	8&9															
䕤	j		i		1																				
䕥	n		i		3																				
䘂																									
䘃	m		o		4	m		aa&i&o	k&ng	4&9&9															
䘄	zh		u		4																				
䙪	l		o	ng	2	p		aa	n	3															
䚔	b		i	n	1	b&p		aa&i	n	1&1&5															
䜙			a	n	2																				
䜚	t		a		4	d		aa	p	9															
䜛	ch		a	n	2	c&d&s&z		a	m&n&ng	2&4&6&6&6															
䜜		u	ei		4																				
䜝	t	u	a	n	3																				
䜞	j		i		4	z		aai&i		1&1															
䝃	zh		e		2																				
䝒	zh		u		4																				
䞕	r		u		2	z	i	u		4															
䟌	j		i		2																				
䠪	d	u	a	n	4	d	i	u	n	6															
䠫	z		ou		4																				
䡷	k		ai		4																				
䡸																									
䡹	zh		i		4	z		aa&i	&k&p	3&7&7															
䤓	m		e	ng	2	m		u	ng	4															
䤔	j	i	a	n	4	c&g&s&z		a&i	m&n&p&t	2&2&6&8&9															
䥝			ao		2			ou		1															
䥞	j	i	ao		3	g	i	u		2															
䥟		i	e		4																				
䥠						s&z		aa	m	1&4															
䥡		i	e		4	z		i	&p	3&9															
䥢	l		o	ng	2																				
䥣	z		ao		2	z		o	k	9															
䥤	b		ao		2	b&c&f		i&o&ou&u	&k&t	3&7&8&9															
䥥	l	i	a	n	2	l		i	m	4															
䥦																									
䦲		i	a	n	2	z		i	m	4															
䦳	x	i	a	ng	4																				
䦴		i	i		4	z		i	k	9															
䧰	h		u	n	4																				
䩌	q	i	ao		2	c	i	u		4															
䩍	l	i	ao		3	l	i	u		4															
䩿	f		e	n	2	b&f		aa	n	4&6															
䪀	g	u	a	n	3	&f&g&z	&i	aa&u	n&t	2&2&2&7															
䪁	b		u		3	b&p		u	k&n	4&9															
䪂	g		e		2	g		aa	k	8															
䪃	d		u	n	1	d&m		aa&eo	n	1&4															
䪄	h	u	a	ng	2		u	o	ng	4															
䪛	f		a	n	1	f		aa	n	1															
䪤	f		a	n	2	f		aa	n	4															
䫬	zh		e	n	3	z		a	m	2															
䫭	h	u	i		4	k	u	i		2															
䫮	ch		a	n	2	c		a	m	4															
䫯						c&k&s&z		aai&ei&i		1&1&1&4															
䫰	l		i	n	4	l		eo	n	6															
䫱	n		a		2	z	i	u		4															
䬝	h		e	ng	2		u	aa	ng	4															
䭘		i	i	ng	3	z		i	ng	2															
䭙	j		i	n	3	g		aa	n	2															
䭚	ch	u	a	ng	2	c		o	ng	4															
䭛	d		a	n	4	&d	&u	a&i	&m	6&6															
䭜																									
䭪	l	i	a	ng	2	l		oe	ng	4															
䮪	ch		e	ng	2	s&z		aa&i	ng	4&6															
䮫	l		ou		2	l		aau&ou		4&4															
䮬	m		o		4	m		aa	k	9															
䮭	m		i		4	m		i	k	9															
䮮	m		ai		4	m		a	k	9															
䮯			ao		4	ng		ou		6															
