[																									
]																									
㐊																									
㐋																									
㐧																									
㓀																									
㓁		u	a	ng	3	m		o	ng	5															
㓅	t		i	ng	1	d&t		i	ng	1															
㔫																									
㔹	l		e		4	l		a	k	9															
㕕	h	u	a	n	4	&n	&u	a	n&p	6&9															
㕚	zh		ao		3	z		aau		2															
㕛	x		u		4	z		aau		5															
㝉	zh		u		4	c	i	u		5															
㞢						z		i		1															
㠪	j		u		4	g		eoi		6															
㢧	j	u	a	n	4	g	i	u	n	2															
㲸	x		i		1	k		a	p	7							ư	ơ	t	7					
㸦	h		u		4		&u	i&u		1&6															
不	b		u		4	b&f		a&au	&t	2&7	p	w	u	&l	None	b		â	t	7	b&f&h		i&u	&tsu	None
与		i	u		3		i	u		4&5&6						d		ư		6		y	o		None
丏	m	i	a	n	3	m		i	n	5											b&m		e	n	None
丐	g		ai		4	k		oi		3						c		ai		3	k		a	i&tsu	None
丑	ch		ou		3	c		au		2	ch	w	u	&k	None	s	ư	u		5	t	y	u	&u	None
丒	ch		ou		3																t	y	u	u	None
专	zh	u	a	n	1	z	i	u	n	1											s		e	n	None
丗	sh		i		4																s		e	&i	None
丬	q	i	a	ng	2																				
中	zh		o	ng	1	z		u	ng	1&3	c	w	u	ng	None	tr		u	ng	1	t	y	u	u	None
丮	j		i		3																k	&y	a&e	ki&ku	None
丯	j	i	e		4																k		a	i	None
丰	f		e	ng	1	f		u	ng	1	p		o	ng	None	ph		o	ng	1	b&f&h		o&u	&u	None
丹	d		a	n	1	d		aa	n	1	t		a	n	None	đ		a	m	1	t		a	n	None
为		u	ei		4		u	ai		4&6															
之	zh		i		1	z		i		1	c		i		None	ch		i		1	s		i		None
乌		u	u		1			u		1															
乢	g		ai		4																g		a	i	None
乣	j	i	u		3																k	y	u	u	None
乤	x	i	a		4																				
乥	h		u		4																				
书	sh		u		1	s	i	u		1															
予		i	u		3		i	u		4&5		y	e		None	nh		ư		2	&s	y	a&o		None
云		i	u	n	2		u	a	n	4		w	u	n	None	v		â	n	1			u	n	None
互	h		u		4			u		6	h		o		None	h		ô		6	g&k		o		None
亓	q		i		2	k		ei		4											k		i		None
五		u	u		3	ng		@		5			o		None	ng		u		6	g		o		None
井	j		i	ng	3	z		e&i	ng	2	c		e	ng	None	t		i	nh	5	s	&y	e&o	i&u	None
亖	s		i		4																s		i		None
亢	k		a	ng	4	g&k		o	ng	1&3	h		a	ng	None	c		a	ng	1	k		o	u	None
亣	t		a		4																				
什	sh		e	n	2	s&z		a&aa	m&p	6&9	c&s		i	p	None	th		â	p	8	s&z	y	u	u	None
仁	r		e	n	2		i	a	n	4			i	n	None	nh		â	n	1	n&z		i	&n	None
仂	l		e		4	l		a	k	9											r	&y	o	ku	None
仃	d		i	ng	1	d		i	ng	1						đ		ư	ng	2	t		e	i	None
仄	z		e		4	z		a	k	7	ch		u	k	None	tr		ă	c	7	s	&y	i&o	ki&ku	None
仅	j		i	n	3	g		a	n	2											d&h		o&u		None
仆	p		u		1	f&p		u	&k	6&7	p	w	u		None	b		o	c	8	f&h		o&u	&ku	None
仇	ch		ou		2	c&k&s		au		4	k	w	u		None	c	ư	u		2	g&k	&y	u	&u	None
仈	b		a		1																h		a	chi&tsu	None
仉	zh		a	ng	3	z		oe	ng	2						k		e		5	s	y	o	u	None
今	j		i	n	1	g		a	m	1	k		u	m	None	k		i	m	1	k		i&o	n	None
介	j	i	e		4	g		aai		3	k		ay		None	g	i	ơi		3	k		a	i	None
仌	b		i	ng	1																				
仍	r		e	ng	2		i	i	ng	4			i	ng	None	nh		ư	ng	1	n&z	y	o	u	None
从	c		o	ng	2	c		u	ng	4											s&z	y	o&u	&u	None
仏	f		o		2																b		u	tsu	None
仐	s		a	n	3																s		a	n	None
仑	l		u	n	2	l		eo	n	4															
仒	b		i	ng	1																				
仓	c		a	ng	1	c		o	ng	1															
允		i	u	n	3		u	a	n	5		y	u	n	None								i	n	None
兂	z		a	n	1	z		aa	m	1											s		a&i	n	None
元		iu	a	n	2		i	u	n	4		w	e	n	None	ng	uy	ê	n	1	g		a&e	n	None
內	n		ei		4	n		aa&oi	&p	6&9	n		a&ay	&p	None						d&n		a	i	None
公	g		o	ng	1	g		u	ng	1	k		o	ng	None	c		ô	ng	1	k		o	u	None
六	l	i	u		4	l		u	k	9	l	y	u	k	None	l		u	c	8	r		i&o	ku	None
兮	x		i		1	h		ai		4	h	y	ey		None	h		ê		2	k		e	i	None
兯	h		a	n	5																				
冃	m		ao		4																b&m		o	u	None
冄	r		a	n	3																n&z		e	n	None
内	n		ei		4	n		oi		6						n	ô	i		4	d&n		a	i	None
円		iu	a	n	2							w&y	e&ey	n	None								e	n	None
冇	m		ao		3	m		ou		5															
冈	g		a	ng	1	g		o	ng	1															
冗	r		o	ng	3		i	u	ng	2		y	o	ng	None	nh		u	ng	6	z	y	o	u	None
冘		i	i	n	2		i	a&au	&m	4		y	u		None	đ		e	m	1		&y	i&u	&n&u	None
凤	f		e	ng	4	f		u	ng	6											h		o	u	None
凶	x	i	o	ng	1	h		@	ng	1	h	y	u	ng	None	h		u	ng	1	k	y	o	u	None
刅	ch	u	a	ng	1																s	&y	o	u	None
分	f		e	n	1	f		a	n	1&6	p&ph	w	u	n	None	ph		â	n	1	b&f		u	&n	None
