1
2
3
4
5
[
]
㐮,[Mand:hd]x,[Mand:sv]i,[Mand:nc]a,[Mand:lt]ng,[Mand:tn]1,[Cant:hd]s,[Cant:sv],[Cant:nc]oe,[Cant:lt]ng,[Cant:tn]1
㑻,[Mand:hd]m,[Mand:sv],[Mand:nc]a,[Mand:lt],[Mand:tn]4,[Cant:hd]m,[Cant:sv],[Cant:nc]aa,[Cant:lt],[Cant:tn]6,[Cant:hd]m,[Cant:sv],[Cant:nc]ei,[Cant:lt],[Cant:tn]5
㑼,[Mand:hd]l,[Mand:sv]v,[Mand:nc]e,[Mand:lt],[Mand:tn]4,[Cant:hd]l,[Cant:sv],[Cant:nc]oe,[Cant:lt]k,[Cant:tn]9
㑽,[Mand:hd]t,[Mand:sv],[Mand:nc]a,[Mand:lt]ng,[Mand:tn]2,[Cant:hd]t,[Cant:sv],[Cant:nc]o,[Cant:lt]ng,[Cant:tn]4
㑾,[Mand:hd],[Mand:sv]i,[Mand:nc]ao,[Mand:lt],[Mand:tn]2,[Cant:hd]z,[Cant:sv]i,[Cant:nc]u,[Cant:lt],[Cant:tn]4
㑿,[Mand:hd]zh,[Mand:sv],[Mand:nc]ao,[Mand:lt],[Mand:tn]4,[Cant:hd]c,[Cant:sv],[Cant:nc]oe,[Cant:lt]k,[Cant:tn]8,[Cant:hd]h,[Cant:sv],[Cant:nc]u,[Cant:lt]k,[Cant:tn]9,[Cant:hd]z,[Cant:sv],[Cant:nc]au,[Cant:lt],[Cant:tn]3,[Cant:hd]z,[Cant:sv]i,[Cant:nc]u,[Cant:lt],[Cant:tn]6
㒀,[Mand:hd]zh,[Mand:sv],[Mand:nc]ai,[Mand:lt],[Mand:tn]1,[Cant:hd]c,[Cant:sv],[Cant:nc]i,[Cant:lt]m,[Cant:tn]4,[Cant:hd]c,[Cant:sv],[Cant:nc]i,[Cant:lt]p,[Cant:tn]8,[Cant:hd]z,[Cant:sv],[Cant:nc]a,[Cant:lt]k,[Cant:tn]9
㒁,[Mand:hd],[Mand:sv]i,[Mand:nc]u,[Mand:lt],[Mand:tn]3,[Cant:hd]s,[Cant:sv],[Cant:nc]ou,[Cant:lt],[Cant:tn]3,[Cant:hd]z,[Cant:sv]i,[Cant:nc]u,[Cant:lt],[Cant:tn]5
㒾,[Mand:hd]sh,[Mand:sv],[Mand:nc]i,[Mand:lt],[Mand:tn]4,[Cant:hd]s,[Cant:sv],[Cant:nc]i,[Cant:lt],[Cant:tn]6
㓖,[Mand:hd]b,[Mand:sv],[Mand:nc]i,[Mand:lt],[Mand:tn]4,[Cant:hd]b,[Cant:sv],[Cant:nc]i,[Cant:lt]t,[Cant:tn]7
㓼,[Mand:hd]ch,[Mand:sv],[Mand:nc]i,[Mand:lt],[Mand:tn]4
㓽,[Mand:hd]ch,[Mand:sv],[Mand:nc]o,[Mand:lt]ng,[Mand:tn]2,[Cant:hd]s,[Cant:sv],[Cant:nc]u,[Cant:lt]ng,[Cant:tn]4
㔪,[Mand:hd]l,[Mand:sv],[Mand:nc]u,[Mand:lt],[Mand:tn]3,[Cant:hd]l,[Cant:sv],[Cant:nc]ou,[Cant:lt],[Cant:tn]5
㔲
㔳,[Mand:hd]g,[Mand:sv]u,[Mand:nc]i,[Mand:lt],[Mand:tn]3,[Cant:hd]g,[Cant:sv],[Cant:nc]ei,[Cant:lt],[Cant:tn]2,[Cant:hd]g,[Cant:sv]u,[Cant:nc]aai,[Cant:lt],[Cant:tn]2
㔴,[Mand:hd],[Mand:sv]i,[Mand:nc]i,[Mand:lt],[Mand:tn]4,[Cant:hd]z,[Cant:sv],[Cant:nc]i,[Cant:lt]k,[Cant:tn]9
㔼,[Mand:hd]s,[Mand:sv],[Mand:nc]u,[Mand:lt]n,[Mand:tn]3,[Cant:hd]s,[Cant:sv],[Cant:nc]eo,[Cant:lt]n,[Cant:tn]2
㕏,[Mand:hd]ch,[Mand:sv],[Mand:nc]u,[Mand:lt],[Mand:tn]2,[Cant:hd]c,[Cant:sv]i,[Cant:nc]u,[Cant:lt],[Cant:tn]4
㗒,[Mand:hd],[Mand:sv],[Mand:nc]ai,[Mand:lt],[Mand:tn]4,[Cant:hd],[Cant:sv],[Cant:nc]oi,[Cant:lt],[Cant:tn]2
㗓,[Mand:hd]zh,[Mand:sv]u,[Mand:nc]i,[Mand:lt],[Mand:tn]1,[Cant:hd]c,[Cant:sv],[Cant:nc]i,[Cant:lt],[Cant:tn]3,[Cant:hd]z,[Cant:sv],[Cant:nc]eoi,[Cant:lt],[Cant:tn]1
㗔,[Mand:hd]q,[Mand:sv]i,[Mand:nc]a,[Mand:lt]n,[Mand:tn]1,[Cant:hd]h,[Cant:sv],[Cant:nc]i,[Cant:lt]n,[Cant:tn]1
㗕,[Mand:hd]g,[Mand:sv],[Mand:nc]ou,[Mand:lt],[Mand:tn]4,[Cant:hd]g,[Cant:sv],[Cant:nc]aau,[Cant:lt],[Cant:tn]3,[Cant:hd]ng,[Cant:sv],[Cant:nc]aau,[Cant:lt],[Cant:tn]1
㗖,[Mand:hd]d,[Mand:sv],[Mand:nc]a,[Mand:lt]n,[Mand:tn]4,[Cant:hd]d,[Cant:sv],[Cant:nc]aa,[Cant:lt]m,[Cant:tn]6,[Viet:hd]th,[Viet:sv],[Viet:nc]ao,[Viet:lt],[Viet:tn]2
㗗,[Mand:hd]b,[Mand:sv],[Mand:nc]ei,[Mand:lt],[Mand:tn]1,[Cant:hd]b,[Cant:sv],[Cant:nc]ai,[Cant:lt],[Cant:tn]2,[Cant:hd]b,[Cant:sv],[Cant:nc]ei,[Cant:lt],[Cant:tn]1
㗘,[Mand:hd]b,[Mand:sv],[Mand:nc]o,[Mand:lt],[Mand:tn]2,[Cant:hd]b,[Cant:sv],[Cant:nc]o,[Cant:lt]k,[Cant:tn]8,[Cant:hd]b,[Cant:sv],[Cant:nc]o,[Cant:lt]k,[Cant:tn]9
㗙,[Mand:hd]ch,[Mand:sv],[Mand:nc]u,[Mand:lt],[Mand:tn]1,[Cant:hd]z,[Cant:sv],[Cant:nc]aau,[Cant:lt],[Cant:tn]1,[Viet:hd]s,[Viet:sv],[Viet:nc]o,[Viet:lt],[Viet:tn]2
