[
]
㕔,[Cant:hd]t,[Cant:sv],[Cant:nc]e,[Cant:lt]ng,[Cant:tn]1,[Cant:hd]t,[Cant:sv],[Cant:nc]i,[Cant:lt]ng,[Cant:tn]1
㚁,[Mand:hd]q,[Mand:sv]i,[Mand:nc]ao,[Mand:lt],[Mand:tn]4,[Cant:hd]k,[Cant:sv]i,[Cant:nc]u,[Cant:lt],[Cant:tn]4
㶞,[Mand:hd]n,[Mand:sv],[Mand:nc]a,[Mand:lt]ng,[Mand:tn]3,[Cant:hd]n,[Cant:sv],[Cant:nc]o,[Cant:lt]ng,[Cant:tn]5
㶟,[Mand:hd]l,[Mand:sv],[Mand:nc]ei,[Mand:lt],[Mand:tn]3,[Cant:hd]l,[Cant:sv],[Cant:nc]eoi,[Cant:lt],[Cant:tn]5
㺧,[Cant:hd]h,[Cant:sv],[Cant:nc]ei,[Cant:lt],[Cant:tn]3,[Cant:hd]h,[Cant:sv]i,[Cant:nc]u,[Cant:lt],[Cant:tn]1,[Cant:hd]h,[Cant:sv],[Cant:nc]o,[Cant:lt],[Cant:tn]2,[Viet:hd]h,[Viet:sv],[Viet:nc]eo,[Viet:lt],[Viet:tn]1
㽋,[Mand:hd]l,[Mand:sv]u,[Mand:nc]o,[Mand:lt],[Mand:tn]2,[Cant:hd]l,[Cant:sv],[Cant:nc]o,[Cant:lt],[Cant:tn]4
㿚,[Mand:hd]l,[Mand:sv]u,[Mand:nc]o,[Mand:lt],[Mand:tn]4,[Cant:hd]l,[Cant:sv],[Cant:nc]o,[Cant:lt],[Cant:tn]6
㿛,[Mand:hd]l,[Mand:sv],[Mand:nc]i,[Mand:lt],[Mand:tn]4,[Cant:hd]l,[Cant:sv],[Cant:nc]ai,[Cant:lt],[Cant:tn]6
䂎,[Mand:hd]z,[Mand:sv]u,[Mand:nc]a,[Mand:lt]n,[Mand:tn]3,[Cant:hd]z,[Cant:sv]i,[Cant:nc]u,[Cant:lt]n,[Cant:tn]2
䃺,[Mand:hd]m,[Mand:sv],[Mand:nc]o,[Mand:lt],[Mand:tn]2,[Cant:hd]m,[Cant:sv],[Cant:nc]o,[Cant:lt],[Cant:tn]4
䉶,[Mand:hd]sh,[Mand:sv]u,[Mand:nc]a,[Mand:lt]ng,[Mand:tn]1,[Cant:hd]s,[Cant:sv],[Cant:nc]oe,[Cant:lt]ng,[Cant:tn]1
