鈾,you2,jau2 jau4
愚,yu2,jyu4
獄,yu4,juk6
愈,yu4,jyu6
裕,yu4,jyu6
誉,yu4,jyu6
遇,yu4,jyu6
預,yu4,jyu6
園,yuan2,jyun4
圓,yuan2,jyun4
源,yuan2,jyun4
猿,yuan2,jyun4
暈,yun1,wan4 wan6 wan4 wan6
運,yun4,wan6
載,zai4 zai3,zoi2 zoi3
賊,zei2,caak6
閘,zha2,zaap6
債,zhai4,zaai3
盞,zhan3,zaan2
罩,zhao4,zaau3
照,zhao4,ziu3
睜,zheng1,zaang1 zang1
置,zhi4 zhi5,zi3
稚,zhi4,zi6
腫,zhong3,zung2
莊,zhuang1,zong1
裝,zhuang1,zong1
資,zi1,zi1
罪,zui4 zui5,zeoi6
