呵,a1 he1,ho1 ho2
势,shi4 shi5,sai3
事,shi4 shi5,si6
试,shi4,si3
侍,shi4,si6
饰,shi4,sik1
受,shou4,sau6
叔,shu1 shu5,suk1
枢,shu1,syu1
刷,shua1,caat3 saat3
饲,si4,zi6
松,song1,cung4
所,suo3,so2
抬,tai2,toi4
态,tai4,taai3
贪,tan1,taam1
坦,tan3,taan2
屉,ti5,tai3
图,tu2,tou4
兔,tu4,tou3
拖,tuo1,to1
驼,tuo5 tuo2,to4
玩,wan2,waan4 wun6
往,wang3 wang4,wong5
旺,wang4,wong6
枉,wang5,wong2
违,wei2,wai4
委,wei3,wai1 wai2
味,wei4,mei6
卧,wo4,ngo6
臥,wo4,ngo6
武,wu3,mou5
物,wu4 wu5,mat6
析,xi1,cik1 sik1
细,xi4,sai3
弦,xian2,jin4 jyun4
现,xian4,jin6
线,xian4,sin3
详,xiang2,coeng4
享,xiang3,hoeng2
協,xie2,hip3
胁,xie2,hip3
泄,xie4,jai6 sit3
卸,xie4,se3
欣,xin1,jan1
性,xing4 xing5,sing3
幸,xing4,hang6
姓,xing4,seng3 sing3
学,xue2,hok6
询,xun2,seon1
押,ya1,aap3 aat3
亞,ya4,aa3 ngaa3
軋,ya4,gaat3 zaat3
沿,yan2 yan4,jyun4
炎,yan2,jim4
岩,yan2,ngaam4
夜,ye4,je6
依,yi1,ji1
易,yi4,ji6 jik6 ji6 jik6
宜,yi5 yi2,ji4
迎,ying2,jing4 jing6
拥,yong1,jung2
泳,yong3,wing6
油,you2,jau4
邮,you2,jau4
鱼,yu2,jyu4
雨,yu3,jyu5 jyu6
育,yu4,juk6
远,yuan3,jyun5
运,yun4,wan6
咂,za1,sap1 zaap3
咋,za3,zaa1 zaa3 zaak3
枣,zao3,zou2
责,ze2,zaak3
择,ze2,zaak6
闸,zha2,zaap6
沾,zhan1,zim1
長,zhang3 chang2,coeng4 zoeng2
胀,zhang4,zoeng3
招,zhao1,ziu1
这,zhe4,ze5
侦,zhen1,zing1
枕,zhen3,zam2 zam3
爭,zheng1,caang1 zaang1 zang1
征,zheng1,zing1
怔,zheng1,zing1
政,zheng4,zing3
枝,zhi1,kei4 zi1
肢,zhi1,zi1
知,zhi1,zi1 zi3
织,zhi1,zik1
直,zhi2,zik6
帜,zhi4,ci3
治,zhi4,ci4 zi6
制,zhi4,zai3
质,zhi4,zat1
终,zhong1,zung1
肿,zhong3,zung2
周,zhou1,zau1
咒,zhou4,zau3
