1								
2								
3								
4								
5								
6								
7								
8								
9								
[								
]								
㐙								
㐚								
㐛								
㐨				xù		zeoi6		
㐩				xíng		zing4		
㐭				lǐn		lam5		
㑉				sù		cuk1		
㑊				yì		zik6		
㑋				qióng		kung4		
㑌				kuāng		hong1		
㑍				lèi		leoi5		
㑎				nǎo		nou5		
㑏				zhù		cyu5 zyu2		
㑐				shū		suk1		
㑑								
㑒								
㑓								
㑔				xǔ		seoi2		
㑕								
㑖								
㒬								
㒺								
㓉				huò		gwaat3 gwat3 kut3 wun6 wut6		
㓊				dòng		dung6		
㓋				gòng		gung6		
㓌				chēng		cang1 cang1 gwai3 ting4 tong3		
㓍								
㓡				fǔ		fu2		
㓢				luò		lok3		
㓣				qià		got3 zak6		
㓤				qià		gat1 hot3 kit3 kit6		
㓥				tāng		tong1		
㓦				bāi		bak3		
㔙				bēng		ping1		
㔚				jié		aau2 haau2		
㔛								
㔬						coek3 zau3		
㔽				yào		zaau5		
㕁				què		koek3		
㕈				yǐ		at3 zi2		
㕉				kè				
㕞				shuā		caat3		
㕷				huà		pak1		
㕸				lì		lai6 lap1 lap6	lắp	
㕹				fá		fat6		
㕺				xiāo		hiu1		
㕻				pǒu		faau2 fu3 taau3		
㕼						dung6 hung1		
㕽				sì		cek3 ci5 ji5		
㕾								
㕿								
㘠				bì		baai3 dai1		
㘡				xiá		haap6		
㘱				tān		taan1		
㘲				jú		guk1		
㘳						zaau1		
㘴				zuò		zo6		
㘵				bù		bou3		
㚉				gǔ		gu2		
㚔				niè		nip6		
㚕				fú		faat1		
㚖				gǎo		gou2		
㚗				qié		ce4 wu1		
㚘				bàn		bun6		
㚙				jiā		gaa1		
㚰				pēi		pui1		
㚱				qiū		zaau1		
㚲				chān		sim1		
㚳						o1		
㚴				bù		bou3		
㚵				dōng		dung1		
㚶				sì		ci5		
㚷				ěr		nai5		
㚸						si1		
㚹				mǎo		mau5		
㚺				yùn		zaan6		
㚻				jī		gei1		
㚼						naau2		
㚽				qiǎo		haau2		
㚾				xiōng				
㚿				páo		pau4		
㛀				chú				
㛁				pēng		ping1		
㝀				hào		hou3		
㝒						geoi1		
㝵				dé		daak1 ngoi6		
㝾				zuǒ		zo2		
㝿				bǒ		bo2		
㞏				zhé		zaat6		
㞐				jū		geoi1		
㞑				wěi		mei5		
㞹				kě		ho2		
㞺				zú		zuk6		
㞻				hào		hou6		
㞼				chéng		nip6 sing4		
㞽				xuè		hyut3		
㞾				ní		nei4		
㞿				chì		kei4		
㟀				lián		lin4		
㟁				àn		ngang6 ngon6		
㟂				mǔ		mou5		
㟃				sī		si1		
㠰								
㠽				tóng		tung4		
㠾				yuān		zyun1 zyun3		
㠿				zī		zi1		
㡀				bì		bai6		
㡴				lā		kaap1 lai1	lụp	
㡵				líng		ling4 ling5		
㡶				zhǐ		zi2		
㡷				běn		bun2		
㡸				zhà		zaa3		
㡹				jū		zeoi1		
㡺				dàn		daan3		
㡻				liào		liu6		
㢠				jiǒng		gwing2		
㢮				chí		ci4		
㢯				diāo		deon1		
㢰				bì		bei6		
㢱								
㣇				yì		caa3 zi6		
㣋						daan1		
㣌				shàn		saam3		
㣍				tái		ciu1 cong2 toi4 zaau2		
㣘						keoi1		
㣙				dí		dek6 duk6		
㤁				miǎn		tim2		
㤂				jí		gap1		
㤅				ài		oi3		
㤌				gān		gaam1 gaam3		
㤏				tóng		tung4		
㤐				chān		tip3		
㤑				yòu		zaau6		
㤒				gāo		gou1		
㤓				bèn		ban6	bỡn	
㤔				fù		fu6		
㤕				chù		zeot1	trót	
