[								
]								
㷟				tuì		teoi3		
㷠				lín		leon4		
㷡				jiǒng		gwing2 waan4 wo1		
㷢				zhǎ		zaa2		
㷣				xīng		sing1		
㷤				hù		huk6 kok3		
㷥						zing1		
㷦				xù		gwik1 zik6		
㷧								
㷨								
㷩						hei1		
㷪				cuì		zyun2		
㸕				jué		fok3		
㸢				bèi		bei6		
㹄				jì		zik1		
㹉				yuán		zyun4		
㹊				yuè		ngok6		
㹋				xiū		saau1 saau2		
㺎				róng		zung4		
㺏				lóu		laau4 zyu4		
㺐				lǎo		zau2		
㺑				shān		cam4		sɑu
㺒				xiāo		haau1		
㺓				zé		zik1		
㻧				duò		do6		
㻨								
㻩								
㻪				suì		seoi6		
㼐				pián		pin4		
㼑				liàn		lin6		
㼒				tǎng		tong2		
㼲				liè		lit6		
㼳				shěng		sang2 zip3		
㼴				ǒu		ngaau5		
㼵				dì		daai6 taai4 zit3		
㼶				yú		naau6 zyu4		
㼷				chuán		cyun4 zyun1		
㽏				gàn				
㽥				róu		zaau4		
㾪				shěng		saang2		
㾫				piān		pin1		
㾬						gaai1		
㾭				zhòu		zau3		
㾮				huáng		ou3 wong4		
㾯				huī		fui1		
㾰				hú		wu4		
㾱				bèi		fai3		
㾲								
㾳								
㾴				zhā		zaa1		
㾵				jì		gai3		
㿣				hē		hot3		
㿤				chǔn		ceon2 ceon4		
㿴				dā		daap3		
㿵				rǎn		zim5		
䀆				jìn		zeon6		
䁊				wò		waat3		
䁋				xiè		hip3 sip3 sit3		
䁌				yù		waan3		
䁍				qià		hap1		
䁎				chéng		caang4		
䁏				yǎo		miu5		
䁐				yīng		zing1 zing3		
䁑				yáng		zoeng4		
䁒				jí		caap1 zap6		
䁓				zōng		gai3 zung1		
䁔				xuān		hon6 hyun1 wun6		
䁕				mín		man4		
䁖				lōu		laau1		
䂉				hóu		haai6 haau4		
䂕				huì		fui3 ngaat6		
䃈				jiē		gaai1		
䃉				mín		man4		
䃊				jǔ		zeoi2 zik1 zik6		
䃋				yú		zyu4		
䃌				zhēn		zan1		
䃍				zhào		zeoi6		
䃎				zhà		zaa3 zak3		
䃏				xīng		saang2 sing1		
䃐								
䄓				huáng		wong4		
䄔				jǔ		geoi2		
䄕				shè		se5		
䄖								
䄗								
䅠				tí		taai4 teon1		
䅡				xǔ		seoi2		
䅢				jiù		zaau6		
䅣				huáng		wong4		
䅤				qì		hei3		
䅥				jié		kit3		
䅦				máo		nau4		
䅧				yān		zaam1 zaam3 zim3		
䅨						heoi2 hoeng1		
䅩				zhǐ		zi2		
䅪				tuí		teoi4		
䅫								
䆪				hōng		hung1 hung3		
䆫				chuāng		coeng1		
䈁				lún		leon4		
䈂				píng		bing3 kiu5 ping4		
䈃				zhǎo		ziu2		
䈄				hán		ham4		
䈅				yù		wik6		
䈆				dài		daai6		
䈇				zhào		zaau3		
䈈				féi		fei4		
䈉				shà		saap3		
䈊				líng		leng1 ling4 ling4 liu4		
䈋				tà		dap6		
䈌				qū		zeoi1		
䈍				máng		mang4		
䊍				lí		ci1 lei4		
䊎				quǎn		hyun3		
䊏						sam2		
䊐				hún		wan4		
䊑				xiǎng		hoeng2		
䊒						zing1		
䋧				qú		keoi4		
䋨				fǔ		fu2 fu3		
䋩				ér		zi4		
䋪				ē		o1		
䋫				zhēng		zang1		
䋬				tiān		zim1		
䋭				yù		zuk6 zung2		
䋮				jìn		gaam1 kim4		
䋯				qǐ		hing3 kaai2		
䋰				jú		guk6		
䋱				lái		loi4		
䋲				chě		mang5 sing4 zaan6		
䌽				cǎi		coi2		
䍋				chuí		ceoi4 seoi4		
䍌				bù		bou6 faau4		
䍞				yù		gwik1 wik6		
䍟				zòng		zung3		
䍲				nái		nai4 ngaai4		
䍳				què		kyut3		
䍴				wěi		wai2		
䍵				zhēng		kaap1 zaang1		
䍶				dōng		dung1		
䎏				hán		haam4		
䎐				chǎo		cau2 ce2 ze4		
䎑				lù		luk6		
䎒				zhǎn		zaan2		
䎓				tà		daap6		
䎦				yǎn		haam2 zim2 zim5		
䎧				bàng		pong5		
䎨				yè		aam3 zim1		
䎩				zī		zi1		
䎪				nè		neot6		
䎺				zhì		zai3 zit6		
䎻				zhòu		zaau2		
䎼				lù		luk6		
䎽				wén		man4		
䎾				gǔn		gwaan2		
䐜				chēn		can1		
䐝				suò		so2		
䐞				ruò		zoek6		
䐟				xiǎng		gong2 hong6 ngaau1		
䐠				huǎng				
䐢				zhù				
䐣				sǔn		syun2		
䐤				chāi		cai1 zai6		
䐥				wěng		ngong3 ngung3	ỏng	
䐦				kē		haap6 hau2 hot3 lim5		
䐧				kào		hou3		
䐨				gǔ		guk1		
䐩				gāi				
䐪				fàn				
䑖								
䑝				jiǎ		gaa2		
䑱				wǎn		wun2		
䑲				zhào		zau3		
䑳				lún		leon4		
䑴				qí		kei4 zin1		
䑵				mù		muk6		
䑶				qiàn		sin6		
䑷								
䑸				zōng		zung1		
䓕				tuǒ		waai2		
䓗				cōng		cung1 tung2		
䓘				gāo		gaau3		
䓙				kuā		gwai1		
䓚				qū		gu1		
䓛				qū		waat1		
䓜				zhī				
䓝				mèng		laau4 mang6		
䓞				lì		leoi6		
䓟				zhōu		zau1		
䓠				tà		dap6		
䓡				zhī		zi1		
䓢				gù		gu3		
䓣				liǎng		loeng5		
䓤				hū		fat1		
䓥				là				
䓦				diǎn		din2		
䓧				cì		gik1		
䓨				yīng		aang1		
䓩								
䓪								
䓫				qí				
䓬								
䓭				chà		cat3		
䖘				tú				
䖿				lí		lei4		
䗀				chēng				
䗁				jì				
䗂				hǔ		fu2		
䗃				zhàn		zan2 zan6		
䗄				fǔ		fu2 fu6 gu2		
䗅				cháng		coeng4		
䗆				guǎn		gun1 gun2 sung1		
䗇				jú		guk1		
䗈				méng		mong4		
䗉				chāng		coeng1		
䗊				tàn			vẹm	
䗕				wǎn		zyun1		
䘓				kàn				
䘳				jīn		kaam1		
䘴						zung1		
䘵				lù		luk6		
䘶				hān				
䘷				biē				
䘸				yì				
䘹				zuì		ceoi3		
䘺				zhàn		zaan6		
䘻				yù		zuk6		
䘼				wǎn		wun2		
䘽				ní		ngaai4		
䘾				guǎn		gun2 kong3		
䘿				jué		faat1 gwaat6		
䙀				běng		bang1		
䙁				cán		can1		
䙂						zung1		
䚂				hè		hak1		
䚃				yóu				
䚛				hú				
䛝				náo				
䛞				hàn		hon5		
䛟				jiá		gap3		
䛠				dòu		daau2 daau6		
䛡				huà		waa6		
䛢				tū		tuk1		
䛣				pīng				
䛤				cù		cuk1 zok6		
䛥				xī		hei1		
䛦				sòng		zung6		
䛧				mí		mai4		
䛨				xìn		seon3		
䜮				liáo		lou4 lou6		
䜷				qīn		cam1		
䜸				měi				
䜹				shù		cuk1		
䝜				suān		syun1		
䝳				cán				
䝴						zai1		
䝵				bù				
䞓				chēng		cing1		
䞔				wěi		mei5		
䞫				yǔn				
䞬				tòu		taau3 zyu4 zyu5		
䞭				cūn				
䞮				tū				
䞯				fù				
䞰				zuó				
䞱				hú				
䞲								
䟴				zhèn		ngan3 zaan1 zaan3		
䟵				qiú		kau4		
䟶				zuò		co3		
䟷				chì				
䟸				kuí		kwai4		
䟹				liè				
䟺				bèi		bui3		
䟻				dù				
䟽						so1		
䡘				tián		tin4		
䡙				láng		long4		
䡚				mào				
䡛				yìn				
䢆								
䢢				càng				
䢣				yáo		ziu4		
䢤				shù		seoi2 seot6		
䢥				yán		zin2 zin4		
䣈				hàng		hong6 lung6		
䣉								
䣘				táng		tong4		
䣙				péi				
䣚				lóu		lau4		
䣛				qī		sat1		sit
䣜				cuó				
䣺				juān		gyun1		
䣻				hān				
䤤				kāi				
䤥				guǐ				
䤦				yuè		zyut6		
䤧				huì		waai6		
䤨				pì		paan4 pik1 wan4		
䤩				chá				
䤪				duǒ		do2		
䦀								
䦊				niǎo				
䦕				pēng		ping1		
䦖				xié				
䦗				xù		gwik1 kwik1		
䦘				xiàn		haan6		
䦙				sì		zi6		
䦚				kuà		kut3		
䦛				zhèng		zaang3		
䦶				zhèng		zaang3		
䧠				shuàn		seon4 zyun1 zyun2		
䧡				yōng		zung4		
䧢				qū		keoi1		
䧣						zaan1		
䧻						gap3		
䨏				cí		cek3 ci4 maan4		
䨐				qià		haap1		
䨑				tí		tai4		
䨒				yù		wu6		
䨓				léi		leoi4		
䨔				báo		bok6		
䨕						wu1		
䨖				jì		zai3		
䩅				zhǎn		zin2		
䩆				zhǎn				
䩇				zhān				
䩙				xuàn		zyun4		
䩚				dì		daai1 daai2		
䩛				bì		bit1		
䩜				zhòu		zau6		
䩝				páo		pau4		
䩞				tié				
䪐				bì		bei3 faai6 maat6 pit3		
䪑				tuó		to4		
䪒				zhù		zyu3		
䪓				diē				
䪪								
䪶				jū		zeoi1		
䪷				hòu		gaau3		
䪸				mín		man4		
䪹				bāi		pai4 pei1 pui4		
䪺				gé		gok3		
䪻				biàn		bin6		
䪼				zhuō		zyut3		
䪽				hào		hou6		
䪾				zhěn		caan2 zaan2		
䫾				bī		bik1		
䫿				chāo		ciu1 coi2 coi3		
䬀				yǒu		zaau1		
䬁				yí		naa5 zyu4 zyu6		
䬂				xuè		zyut6		
䬃				sà		sap3 seon3 sou3		
䬫				tí		tai4		
䬬				yǐng		zoeng1		
䬭						tou1		
䬮				yí		zi4 zi6		
䬯				nián		nim1		
䬰				shào		dou6 siu6		
䬱				bèn		baan6 gwik1 mang1		
䬲				gōu		ngaau1		
䬳				bǎn		ban2		
䬴				mò		mut3		
䭯				bó		but6		
䭷				máo		mou4 wu4		
䭸				bǎo		fu6		
䭹				áng		ngong4		
䭺				ǎng		ngong4		
䭻				fù		fan1		
䭼				qí		kei4		
䭽				qún		gwok3 kwaan4		
䭾				tuó		to4		
䯈				wán		hin2 zyun4		
䯉				wā		at3		
䯩								
䯯				suō		seoi1 so1 zyu4		
䯰				jiè		gaai3		
䯱				pī		pei4		
䯲				pā		baa1		
䯳				sōng		sung1 tou4		
䯴				cháng		coeng4		
䰙				yǐ		gaan1 gam3 gei6 ngaai5		
䰚				wén		man4		
䰟				hún		waan4 waan4 waat1		
䰴				qì		gat1		
䰵				zī		zi1		
䰶								
䲦				dài		daai6		
䲧				dù		caau4 dou6 dung3		
䲨				hóng		hung4		
䲩						si1		
䲪				xì		hei3		
䲫						gaau1 kaau1		
䴟				huán		wun4		
䴬				yì		zik6 zim2		
䴭				cái		co3 coi4		
䴮				shàn		saan3		
䵞				jìng		king4		
僎	SEN SHUN		CWUN SEN	zhuàn		syun2 zaan6		
像	ZOU SHOU	상	SANG	xiàng	xiang4(233)	zoeng6	tượng	*ziɑ̌ng ziɑ̌ng
僐	SEN ZEN			shàn				
僑	KYOU	교	KYO	qiáo		kiu4	quều	
僒			KWUN	jiǒng				
僓	TAI DE KAI E TE			tuǐ		teoi4		
僔	SON		CWUN	zǔn		zyun2		
僕	BOKU	복	POK	pú		buk6	bộc	*bhuk bhuk
僖	KI	희	HUY	xī		hei1		
僗	RAU			láo		lou4		
僘	SHOU			chǎng				
僙	KOU			guāng				
僚	RYOU	료 요	LYO	liáo	liao2(56)	liu4	liêu	
僛	KI	기	KI	qī		hei1		
僜	TOU DOU SHOU CHOU			chēng				
僝	SAN ZEN		CAN	chán		caan4 saan4		
僞	GI KA	위	WI	wěi		ngai6		
僟	KI GE		KI	jī				
僠	FAN			bō				
僡				huì				
僢	SEN SHUN	천	CHEN	chuǎn				
僣	SEN SHIN		CHAM	tiě		zim3		
僤	TAN DAN SEN ZEN TATSU TACHI		THAN	dàn		daan1 daan6	dạn	
僥	KYOU GYOU	요	YO	jiǎo		giu1 giu2 hiu1 jiu4	nghẹo	
僦	SHYUU SHU	추	CHWU	jiù		zau6		
僧	SOU	승	SUNG	sēng		sang1 zang1	tăng	*səng səng
僨	HUN HON		PWUN	fèn		fan5		
僩	KAN GEN	한	HAN	xiàn		haan5		
僪	KITSU GOCHI ITSU ICHI KETSU KECHI		KYEL	jú				
僫				è				
僬	SEU ZEU	초	CHO	jiāo		ziu1		
僭	SEN SHIN	참	CHAM	jiàn		cim3 cim5 zim3	tiếm	
僮	DOU TOU	동	TONG	tóng		tung4 zung3	đồng	*dhung dgung
僯	RIN			lìn				
僰	HOKU BOKU		PWUK	bó		baak6 bok3		
僱	KO			gù	gu4(25)	gu3		
僳				sù		suk1		
僴				xiàn				
僷			YEP	yè				
儰	I			wěi				
兢	KYOU	긍	KUNG	jīng		ging1	cạnh	giəng
冩	SHA		SA	xiě		se2		
凘	SHI SEI SAI		SI	sī		si1		
凳	TOU	등	TUNG	dèng	deng4(87)	dang3		
凴	HYOU	빙	PING	píng				
劀	KATSU		KWAL	guā		gwaat3 wat6		
劁	SYOU JOU			qiāo		ciu1 ciu4		
劂	KETSU KUUCHI KEI KE	궤	KWEY	jué		gyut3 kyut3	khoét	
劃	KAKU	획	HOYK	huà		waak6	vạch	huɛk
劄	SATSU TOU		CHA	zhā		zaap3	chép	
勨	YOU SHOU JOU		YANG SANG	xiàng				
勩	EI I SHI		YEY I	yì		jai6 ji6		
勪	KYAKU GAKU			jué				
勫	HAN HON			fān				
勬	KEN			juān				
勭				tóng				
匰	TAN		TAN	dān		daan1		
匱	KI GI	궤	KWEY	guì		gwai6	quĩ	
匲	REN		LYEM	lián				
厬	KI		KWEY	guǐ		gwai2		
厭	EN OU YOU	염	YEM YEP	yàn	yan4(67)	jim1 jim3	ướm	*qiɛ̀m
厮	SHI	시	SI	sī		si1		
厯	REKI			lì				
厰	SHOU			chǎng		cong2		
叆	AI			ài				
嗶	HITSU HICHI		PHIL	bì		bat1		
嗷	GOU	오	O	áo		ngou1 ngou4	ngao	ngɑu
嗸	GOU		O	áo				
嗹	REN		LYEN	lián		lin4	liến	
嗺	SUI SAI SE		CHOY	zuī		ceoi1		
嗻	SHA SHO		CHA	zhē		syu3 ze1		
嗼	BAKU MAKU MYAKU		MAK	mò		mok6		
嗽	SOKU SHUU SOU	수	SWU	sou	sou5(39)	sau2 sau3		
嗾	SOU	주	CWU	sǒu		sau2 zuk6		
嗿	TAN TON	탐	THAM	tǎn		taam2		
嘀	SAKU SHAKU			dí	di2(14)	dik1 dik6		
嘁	SAHU SHUKU		CHUK	qī		ci1 cik1		
嘂	KYOU		KYO	jiào		giu3		
嘃				chōng				
嘄	KEU	교	KYO	jiāo				
嘅	KAI GAI		KAY	kǎi		ge3 koi3		
嘆	TAN	탄	THAN	tàn	tan4(153)	taan3	han	tɑn tɑ̀n
嘇			SAM	shān			thấm	
嘈	SAU SOU SEU ZEU	조	CO	cáo	cao2(13)	cou4	tào	dzhɑu
嘉	KA	가	KA	jiā		gaa1		ga
嘊	GAI		AY	ái				
嘋				xiāo				
嘌	HEU	표	PHYO	piào		piu1 piu3		
嘍	ROU RU	루	LWU	lou	lou5(46)	lau1 lau4	làu	
嘎	KATSU KECHI	알	AL	gā		gaa1 gaa4		
嘏	KA KE		HA KA	gǔ		gaa2 gu2		
嘐	HAU HEU RAUROU BIU MIU	교	KYO	xiāo		haau1		
嘑	KO KU		HO	hū		laa3		
嘒	KEI KE	혜	HYEY	huì		wai3		
嘓	KAKU KYOKU		KOYK	guō		gwok3		
嘔	OU	구	KWU HWU	ǒu		au1 au2		qou qǒu
嘕	KEN EN		EN	xiān		hin1		
嘖	SAKU	책	CHAYK	zé		zaak3 zik1		
嘗	SHOU JOU	상	SANG	cháng	chang2(38)	soeng4		*zhiɑng
嘘	KYO		HE	xū	xu1(10)	heoi1		
嘙	HA			pó				
嘚	TOKU			dē				
嘛	MA		MA	ma	ma5(246) ma2(93)	maa3 maa4		
嘜	BA			mà		mak1		
嘝				hú		huk6		
嘞	ROKU		LUK	lei		laak3 lak3		
嘡				tāng				
嘢				yě		je5		
嘣				bēng				
嘤				yīng		ang1 jing1		
嘥				sai		saai1 saai3		
嘦				jiào				
嘧				mì		mat6		
噑				háo				
噓	KYO	허	HE	xū	xu1(10)	heoi1	hờ	xiu xiù
圖	TO ZU	도	TO	tú	tu2(491)	tou4	đồ	*dho
圗	TO ZU		TO	tú				
團	DAN TON DON	단	TAN	tuán	tuan2(887)	tyun4	đoàn	dhuɑn
圙				l&#xfc;è				
塲	JOU			cháng		coeng4		
塳				péng		bung6 pung1	vùng	
塴	HOU			bèng		bang1 paang4		
塵	JIN	진	CIN	chén	chen2(81)	can4	trần	*djhin
塶	KOKU			lù				
塷				lǔ				
塸	OU O			ōu				
塹	ZAN SEN	참	CHAM	qiàn		cim3		tsiɛ̀m
塺	BAI ME BA MA			méi		mo4 mo6 mui4		
塻	BAKU MAKU			mò				
塼	SEN TAN DAN ZEN	전	CEN	zhuān		zyun1		
