[								
]								
䚖				líng		ling4		
䡿				líng		ling4		
䴐				bǎo		bou2		
灩	EN	염	YEM	yàn		jim6		iɛ̀m
虋				mén		mun4		
虌				biē		bit3		
饢				náng				
麣				yán				
