[								
]								
㐯				yōng		jung4		
㒝				miè		mit6 ziu5		
㒞				jùn		zeon3		
㔎				xiè		sit3		
㔏				lì		gak3 lik6		
㔣				léi		leoi4		
㔤				xìn		saam2		
㔥				bài		baai6 pei4		
㔦				yǎng		zoeng5 zoeng6		
㕓								
㘅				xián		haam4		
㘆				tǎi		toi4		
㘇				róng		wing4 zing2	vang	
㘈				yì		zi4		
㙷				zhí		zik6		
㙸				bào		buk6		
㙹				méng		mung4		
㙺				kuí		gwaai6		
㜮				làn		laam6		
㜯				xī		hei1		
㠘				yǔ		zeoi6		
㠙				háo		hou4		
㠚				duì		deoi3 zeoi3		
㠛				wò				
㠜				nì		zik6		
㡥				yìn		zaan2		
㡦				pīn		baan1 faan6		
㣷				nìng		ning6		
㦘				jī		gik1		
㦜				huò		waa6 wok6		
㦠								
㦽				yù		guk1 zuk1		
㩓				huǐ		wai2		
㩚				méng		mung4		
㩛				tuán		faa1 tyun4		
㩜				lǎn		gaam3 laam5	giam	
㩝				háo		hou4		
㩞				cì		caak3 wing1		
㩟				zhài		zaai6		
㪺				jū				
㬠				shài		sai3		
㬡				líng		ling4		
㬢						fui1 hei1		
㬲				tiān		tim1		
㭀								
㯪				líng		ling4		
㯫				qú		keoi4 ngaau1		
㯬				liǎn		lim5		
㯭				lǔ		lou5		
㯮				shú		suk6 zik6		
㯯				gòng		gung3		
㯰				zhé		cim1 dim1 zaat6 zik6		
㯱				pāo		piu4		
㯲				jìn		gam3	cụm	
㯳				qíng		king4		
㯴								
㯵								
㯶				zōng		zung1		
㱆				xī		hei1		
㱇				sè		hei1 sam1 sik1 zip3		
㱈				jìn		cim3 gaam3		
㱉				yè		zip6		
㱸				bì		bik1		
㲉				què		dik1 hok3		
㵨				pì		pei3		
㵯				féng		fung4		
㵰				xù		zeoi6		
㵱				piǎo		piu3		
㵲				wǔ		mou5		
㵳				liáo		liu4		
㵴				cáng		cong4		
㵵				zòu		tok3 zaau3 zeoi6		
㵶				zuō		ceoi3 cyut3 seoi3 zik1		
㵷				biàn		bin6		
㵸				yào		zoek6		
㵹				huán		wun4		
㵺				pài		hak1 pai4		
㵻				xiū		saau3 sat3		
㵼								
㷾				jué		koek6		
㷿				xiān		hin1		
㸀				tái		toi6		
㸁				hǎn		hon2 hon3		
㸂								
㸃				diǎn		dim2 ding2		
㸣				yè		zip6		
㹔				jiāng		goeng1		
㹕				huān		fun1		
㹖				huàn		waan6		
㺝				hàn		ham5 lam6		
㺞				yú		zyu4	dữ	
㺟				zhuó		zuk6		
㻹				xuān		hyun1		
㻺				lì		lik6		
㻽				suì		seoi6		
㻿				shǔ		suk6		
㼀								
㼁								
㼿				tóng		tung4		
㽀				zhèng		zing6		
㽁				lì		lik6		
㽂				sà		sap3 tat3		
㽃				pān		ban1 pun1		
㽄				sī		si1		
㽅						dang1		
㽑				tán		taam4		
㽪				zěng		zang2		
㿉				tuǐ		teoi4		
㿊				cǎn		cam2 tam4		
䀉				qiáo		giu2 kiu4		
䁫				hú		wu4		
䁬				céng		cang4		
䁭				biāo		biu1 biu1		
䁮				qián		cim4		
䁯				xī		hap1 kaap1		
䁰				jiǎng		gong2		
䁱				kōu		aau1		
䁲				mái		mei1 maai4		
䁳				mǎng		mong5		
䂊				yù		zyu6 zyu6		
䂋								
䂌				chōng		cung1		
䃟								
䃡				jīn		zam1		
䃢				qīn		zaam1		
䃣				huǐ		wai2		
䃤				sù		suk1		
䃥				chuáng		cong4		
䃦				dūn		deon1		
䃧				lóng		lung4		
䃨								
䄟				cuī		ceoi3 waan2		
䅾				cén		sam4		
䅿				huáng		waa4		
䆀				měi		mui5		
䆵				chéng		cang4 zap6 zin3 zip6		
䆶				jiū		zaau1 zik1		
䆷				xuè		waat6 zyut6		
䆸				zhēng		cang4		
䆹				chōng		cung1		
䆺				pān		pun1		
䆻				qiào		kiu3		
䇓				xū		seoi1		
䈸				hú		huk6		
䈹				sǒu		saau2		
䈺				zhōng		zung1		
䈻				pú		pou4		
䈼				miè		mit6		
䈽				jīn		gan1		
䈾				shāo		sau1 se3 sok3		
䈿				mì		maak6		
䉀				shù		syu3 syun4		
䉁				líng		ling4		
䉂				lěi		leoi5		
䉃				jiǎng		zoeng2		
䉄				léng		ling4		
䉅				zhì		caap1 zi3		
䉆				diǎo		diu2		
䉇								
䊜				tuán		tyun4		
䊝				xiè		sit3		
䊞				zhé		zaak6		
䊟				mén		mun4		
䊠				xì		hei3		
䊡				mán		mun4		
䊢						zoeng1		
䌌				qì		caap1 cip3		
䌍				jǐn		gan2		
䌎				l&#xfc;è		loek6		
䌏				mì		mat6		
䌐				mì		mik6		
䌑				jiān		gin1		
䌒				lù		luk6		
䌓				fán		bun1 fan4		
䌔				ōu		aau3		
䌕				mí		mei4		
䍢				wú		mou4		
䍺				huàn		waan4		
䎭				cāo		ciu4 cou3		
䎮				tì		taai3 tik1		
䎯				hàn		hon2 hon3 zin5		
䏄				dǐ		zaat6 zyut3		
䏅				qì		cai3		
䏆				cáo		cou4		
䏇				piào		piu3		
䐾				duó				
䐿				ào		ou3		
䑀				pì		pik1		
䑁				wù				
䑿				sù		suk1		
䒀				bù		bou6		
䒁				xí		zaap6		
䒂				jiǎng		zoeng2		
䒃				cào		zou6		
䒄				fù		fu3		
䒅				téng				
䔎				sù		cuk1		
䔏				chòu		cou3 zou6 zung1		
䔐				jiān				
䔑				xié		ce4		
䔒				bèi		bun1 bun6 pui5		
䔓				xǔ		heoi2		
䔔				jìng		ging6		
䔕				pú		pou4		
䔖				líng		ling4		
䔗				xiáng		coeng4		
䔘				zuò				
䔙				diào		coek3 diu3		
䔚				chún		seon4		
䔛				qǐng		king2 loek6		
䔜				nán				
䔝				zhāi				
䔞				lǜ		leoi6 leot6		
䔟				yí		zyu4		
䔠				shǎo		sau1		
䔡				yú		zyu4		
䔢				huá		waa4		
䔣				lí		lai4		
䔤				pā				
䔥						siu1		
䔦								
䔧				lí		laai4		
䔨								
䔩								
䔪				shuǎng		song2		
䔫								
䔬				yì		zi6		
䖜				yín				
䗟				yì				
䗠				xuán		syun4 syun6		
䗡				yán		zin1		
䗢				zǎo		zou2		
䗣				hàn				
䗤				yóng		ngaau5 zung4		
䗥				zōng		zung1		
䗦						fung1		
䗧				kāng		hong1 wong1		
䗨				yú		zyu4		
䗩				qī		cik1		
䗪				zhè		ze3		
䗫				má		maa3 maa4		
䗬						fung1		
䗭								
䗮				shuǎng		cong2 song2		
䙔				ōu		aau1 zaau1 zat3 zim2		
䙕				zǒng				
䙖						bang1		
䙗				tì				
䙘				chǔ				
䙙				chí		ci4		
䙚				niǎo		niu5		
䙛				guàn		gwaan2 waan6		
䙜				féng		fung4		
䙝				xiè		sit3		
䚊				jiǎn				
䚋				yùn		waan4		
䚌								
䚥				nuò		zoek6		
䚦				zhì				
䛾				sù		sou3		
䛿				gé		gaak3		
䜀				nǎo		nou5		
䜁				xì		haai5		
䜂								
䜦								
䜧				nǎo		nou5		
䜰								
䝀				liú		lau4		
䝁				láo		lou4		
䝂				shù		syu6		
䝠				huán		zyun4		
䞅				yí		zi4		
䞆				suǒ		so2		
䞽				suǒ		sok3		
䞾				chí		daai6 zaai3		
䞿				qiān		hin1		
䟀				cāi				
䠗				qiù		cau5		
䠘				pì				
